"index","word","meaning","pos","rank"
"89","quedar","to remain, stay","v","89"
"90","siempre","always, forever","adv","90"
"91","creer","to believe, think","v","91"
"92","hablar","to speak, talk","v","92"
"93","llevar","to take, carry","v","93"
"94","dejar","to let, leave","v","94"
"95","nada","nothing, not at all","pron","95"
"96","cada","each, every","adj","96"
"97","seguir","to follow, to go on","v","97"
"98","menos","less, fewer","adj","98"
"99","nuevo","new","adj","99"
"100","encontrar","to find","v","100"
"101","algo","something, somewhat","pron","101"
"102","solo","only, just (adv)","adv","102"
"103","pues","then, well then","conj","103"
"104","llamar","to call, name [also denominar]","v","104"
"105","venir","to come","v","105"
"106","pensar","to think","v","106"
"107","aquel","that (over there)","adj","107"
"108","momento","moment, time","nm","108"
"109","sino","but, except, rather","conj","109"
"110","esto","this (pron)","pron","110"
"111","salir","to leave [also partir]","v","111"
"112","volver","to turn, to turn over, to return to a place","v","112"
"113","forma","form, shape, way","nf","113"
"114","antes","before","adv","114"
"115","bueno","good (adj)","adj","115"
"116","casa","house","nf","116"
"117","aunque","although, even though","conj","117"
"118","mundo","world","nm","118"
"119","tres","three","num","119"
"120","tal","such a","adj","120"
"121","mejor","best, better (adv)","adj","121"
"122","tomar","to take, drink","v","122"
"123","cierto","certain, sure, true","adj","123"
"124","conocer","to know (someone or place)","v","124"
"125","hacia","toward, towards","prep","125"
"126","cómo","how?","adv","126"
"127","mujer","woman, wife","nf","127"
"128","vivir","to live","v","128"
"129","aquí","here","adv","129"
"130","caso","case, occasion","nm","130"
"131","sentir","to feel, regret (v)","v","131"
"132","luego","later, afterwards","adv","132"
"133","país","country","nm","133"
"134","tratar","to try, treat, deal with","v","134"
"135","lugar","place, position","nm","135"
"136","te","you (obj, familiar)","pron","136"
"137","persona","person","nf","137"
"138","mayor","larger, older, main","adj","138"
"139","último","last, final","adj","139"
"140","propio","own, proper, typical","adj","140"
"141","quien","who, whom","pron","141"
"142","mirar","to look, watch","v","142"
"143","hora","hour, time (specific)","nf","143"
"144","ninguno","no, none, nobody","adj pron","144"
"145","trabajo","work, job, effort","nm","145"
"146","casi","almost, nearly","adv","146"
"147","punto","point, dot, period","nm","147"
"148","durante","during, for (time)","adv","148"
"149","cualquier","any, anyone","adj, pron","149"
"150","mano","hand","nf","150"
"151","nunca","never, ever","adv","151"
"152","manera","way, manner (nf)","nf","152"
"153","cual","which, who, whom","pron","153"
"154","mientras","while, whereas, as long as","conj","154"
"155","contar","to tell, count","v","155"
"156","fin","end","nm","156"
"157","tipo","type, kind","nm","157"
"158","gente","people","nf","158"
"159","además","also, as well, besides","adv","159"
"160","solo","lonely, alone (adj)","adj","160"
"161","empezar","to begin, start [also comenzar]","v","161"
"162","ejemplo","example","nm","162"
"163","esperar","to wait, hope for, expect","v","163"
"164","hoy","today, nowadays","adv","164"
"165","lado","side","nm","165"
"166","hijo","son, [pl] children","nm","166"
"167","allí","there [also ahí]","adv","167"
"168","éste, ésta","this one","pron","168"
"169","problema","problem","nm","169"
"170","cuenta","bill, account","nf","170"
"171","medio","means, middle (nm)","nm","171"
"172","contra","against, opposite","prep","172"
"173","buscar","to look for","v","173"
"174","dentro","inside","adv) [also adentro]","174"
"175","largo","long (adj)","adj","175"
"176","palabra","word","nf","176"
"177","existir","to exist","v","177"
"178","niño","child, little boy","nm","178"
"179","entrar","to enter","v","179"
"180","sin embargo<br />embargo","nevertheless","nm","180"
"181","único","only, unique, sole","adj","181"
"182","padre","father","nm","182"
"183","trabajar","to work","v","183"
"184","pequeño","little, small, young","adj","184"
"185","alto","tall, high","adj","185"
"186","cambio","change","nm","186"
"187","escribir","to write","v","187"
"188","cuatro","four","num","188"
"189","ahí","there","adv) [also allí]","189"
"190","perder","to lose, miss","v","190"
"191","nosotros","we","pron","191"
"192","historia","history, story","nf","192"
"193","idea","idea","nf","193"
"194","agua","water","nf el","194"
"195","producir","to produce, cause","v","195"
"196","noche","night, evening","nf","196"
"197","ciudad","city","nf","197"
"198","modo","way, manner (nm)","nm","198"
"199","nombre","name, noun","nm","199"
"200","ocurrir","to happen, occur","v","200"
"201","familia","family","nf","201"
"202","realidad","reality, actuality","nf","202"
"203","entender","to understand [also comprender]","v","203"
"204","pedir","to ask for, request","v","204"
"205","recibir","to receive","v","205"
"206","obra","work, book, deed","nf","206"
"207","importante","important","adj","207"
"208","medio","half, middle (adj)","adj","208"
"209","verdad","truth","nf","209"
"210","mes","month","nm","210"
"211","todavía","still, yet [also aún]","adv","211"
"212","razón","reason","nf","212"
"213","en cuanto a<br />cuanto","in terms of, regarding","adj","213"
"214","bajo","under, underneath (prep)","prep","214"
"215","recordar","to remember, remind","v) [also acordar]","215"
"216","grupo","group","nm","216"
"217","mil","thousand","num","217"
"218","humano","human (adj)","adj","218"
"219","terminar","to finish, end","v","219"
"220","permitir","to allow, permit","v","220"
"221","aparecer","to appear","v","221"
"222","conseguir","to get, acheive","v","222"
"223","comenzar","to begin, start [also empezar]","v","223"
"224","varios","several, various","adj","224"
"225","posible","possible","adj","225"
"226","servir","to serve","v","226"
"227","general","general (adj)","adj","227"
"228","sacar","to take out","v","228"
"229","necesitar","to need","v","229"
"230","relación","relationship, relation","nf","230"
"231","cinco","five","num","231"
"232","cuerpo","body","nm","232"
"233","nadie","nobody, anybody","pron","233"
"234","mantener","to keep, maintain","v","234"
"235","hecho","fact, happening","nm","235"
"236","ante","before, in the presence of","prep","236"
"237","principio","beginning, principle","nm","237"
"238","resultar","to result, turn out","v","238"
"239","igual","equal, same as","adj","239"
"240","señor","sir, Mr., lord","nm","240"
"241","pueblo","people, village","nm","241"
"242","tarde","afternoon, evening (nf)","nf","242"
"243","segundo","second (adj)","adj","243"
"244","leer","to read","v","244"
"245","caer","to fall","v","245"
"246","cambiar","to change","v","246"
"247","ojo","eye","nm","247"
"248","calle","street","nf","248"
"249","presentar","to introduce, present","v","249"
"250","blanco","white","adj","250"
"251","crear","to create","v","251"
"252","abrir","to open","v","252"
"253","libro","book","nm","253"
"254","distinto","distinct, different","adj","254"
"255","fuerza","strength, force, power","nf","255"
"256","luz","light","nf","256"
"257","según","according to","prep","257"
"258","santo","saint (m)","nm","258"
"259","claro","clear (adj)","adj","259"
"260","al frente: frente a<br />frente","facing; across from","nmf","260"
"261","considerar","to consider","v","261"
"262","amigo","friend","nm","262"
"263","oír","to hear","v","263"
"264","cuyo","whose","adj","264"
"265","sentido","sense, feeling","nm","265"
"266","acabar","to have just","v","266"
"267","paso","step, pace","nm","267"
"268","situación","situation","nf","268"
"269","usted","you (subj formal)","pron","269"
"270","bastante","rather, fairly, quite a bit","adj, adv","270"
"271","convertir","to convert, change, become","v","271"
"272","gracia","thank you, grace, favor","nf","272"
"273","siglo","century, age","nm","273"
"274","dios","god, divinity","nm","274"
"275","malo","bad","adj","275"
"276","tierra","earth, land, ground","nf","276"
"277","papel","paper, role, part","nm","277"
"278","madre","mother","nf","278"
"279","tampoco","neither, nor, either","adv","279"
"280","social","social","adj","280"
"281","viejo","old, aged","adj","281"
"282","aún","still, yet [also todavía]","adv","282"
"283","tema","theme, subject, topic","nm","283"
"284","político","political (adj)","adj","284"
"285","español","Spanish","adj","285"
"286","ganar","to win, earn","v","286"
"287","formar","to form","v","287"
"288","clase","kind, class, order","nf","288"
"289","traer","to bring, carry","v","289"
"290","partir","to leave, split","v","290"
"291","dinero","money","nm","291"
"292","quién","who?, whom?","pron","292"
"293","morir","to die","v","293"
"294","incluso","including, even (adv)","adv","294"
"295","campo","field, country","nm","295"
"296","aceptar","to accept","v","296"
"297","quizás","perhaps, maybe","adv","297"
"298","cabeza","head (part of body)","nf","298"
"299","realizar","to fulfill, carry out","v","299"
"300","ciento","hundred (num)","num","300"
"301","mal","badly (adv)","adv","301"
"302","orden","order; sequence (m), religious (f)","nmf","302"
"303","don","courtesy title (m), Mr., gift","nm","303"
"304","semana","week","nf","304"
"305","suponer","to suppose, assume","v","305"
"306","comprender","to understand [also entender]","v","306"
"307","al final<br />final","finally, in the end","nmf","307"
"308","interés","interest","nm","308"
"309","siguiente","following, next","adj","309"
"310","vista","view, sight","nf","310"
"311","lograr","to get, to manage to (do something)","v","311"
"312","demás","the rest, others","adj","312"
"313","acuerdo","accord: in agreement","nm); de acuerdo","313"
"314","difícil","difficult, hard","adj","314"
"315","número","number","nm","315"
"316","explicar","to explain","v","316"
"317","negro","black","adj","317"
"318","fondo","background, back, bottom","nm","318"
"319","camino","road, route, path","nm","319"
"320","voz","voice","nf","320"
"321","estudio","study, learning","nm","321"
"322","necesario","necessary","adj","322"
"323","preguntar","to ask a question","v","323"
"324","allá","there, over there","adv","324"
"325","tocar","to touch, play an instrument","v","325"
"326","valor","value, worth (n)","nm","326"
"327","reconocer","to recognize, admit","v","327"
"328","estudiar","to study","v","328"
"329","alcanzar","to reach, catch up with","v","329"
"330","nacer","to be born","v","330"
"331","dirigir","to direct, manage","v","331"
"332","correr","to run","v","332"
"333","medida","measure: to the extent","nf); a medida que","333"
"334","menor","younger, youngest","adj","334"
"335","demasiado","too much, too many","adj","335"
"336","solamente","only [also únicamente]","adv","336"
"337","bueno","well (adv)","adv) [also bien]","337"
"338","utilizar","to use, utilize","v","338"
"339","centro","center, middle, downtown","nm","339"
"340","necesidad","necessity, need","nf","340"
"341","condición","condition","nf","341"
"342","pagar","to pay","v","342"
"343","ello","it (subj-n)","pron","343"
"344","falta","lack, shortage [also carencia]","nf","344"
"345","ayudar","to help","v","345"
"346","diez","ten","num","346"
"347","a través","across, over, through","adv","347"
"348","antiguo","old, ancient, former","adj","348"
"349","tu","your (singular familiar)","adj","349"
"350","edad","age","nf","350"
"351","estado","state, condition, status","nm","351"
"352","ser","being (nm)","nm","352"
"353","gustar","to be pleasing to","v","353"
"354","puerta","door","nf","354"
"355","jugar","to play (sport/game)","v","355"
"356","cara","face, expression","nf","356"
"357","mí","me (pron)","pron) [also me]","357"
"358","época","time, age, period","nf","358"
"359","color","color","nm","359"
"360","escuchar","to listen to","v","360"
"361","experiencia","experience","nf","361"
"362","movimiento","movement","nm","362"
"363","cumplir","to fulfill","v","363"
"364","especial","special","adj","364"
"365","diferente","different, separate","adj","365"
"366","pesar","sorrow (nm)","nm","366"
"367","posibilidad","possibility","nf","367"
"368","ofrecer","to offer, present","v","368"
"369","descubrir","to discover","v","369"
"370","anterior","previous, preceding","adj","370"
"371","juego","game, play, sport","nm","371"
"372","levantar","to raise, lift","v","372"
"373","pobre","poor","adj","373"
"374","aire","air, wind, appearance","nm","374"
"375","seis","six","num","375"
"376","intentar","to try, attempt","v","376"
"377","guerra","war, warfare","nf","377"
"378","junto","together with, next to (adv)","adv","378"
"379","resultado","result, outcome","nm","379"
"380","usar","to use","v","380"
"381","decidir","to decide","v","381"
"382","repetir","to repeat","v","382"
"383","olvidar","to forget","v","383"
"384","ley","law, bill, rule","nf","384"
"385","aspecto","aspect, appearance","nm","385"
"386","pie","foot, base","nm","386"
"387","valer","to be worth, cost","v","387"
"388","especie","kind, sort, species","nf","388"
"389","comer","to eat","v","389"
"390","servicio","service, helpfulness","nm","390"
"391","cerca","close, near","adv","391"
"392","mostrar","to show","v","392"
"393","actividad","activity, action","nf","393"
"394","tercero","third","adj","394"
"395","cuál","which?","pron","395"
"396","pronto","soon, quick","adv","396"
"397","ocupar","to occupy, use","v","397"
"398","cuestión","question, matter","nf","398"
"399","duda","doubt","nf","399"
"400","diferencia","difference","nf","400"
"401","mañana","morning, tomorrow (nf)","nf","401"
"402","mover","to move, incite","v","402"
"403","continuar","to continue","v","403"
"404","cantidad","quantity, amount","nf","404"
"405","acción","action, act, deed","nf","405"
"406","suceder","to happen","v","406"
"407","fijar","to set, fix, [se] notice","v","407"
"408","sociedad","society","nf","408"
"409","referir","to refer to, tell","v","409"
"410","acercar","to come near","v","410"
"411","capaz","capable, able","adj","411"
"412","bajo","short, low (adj)","adj","412"
"413","libre","free, vacant","adj","413"
"414","natural","natural","adj","414"
"415","dedicar","to dedicate, devote","v","415"
"416","realmente","really, actually, in fact","adv","416"
"417","peso","peso (money), weight, load","nm","417"
"418","efecto","effect","nm","418"
"419","objeto","object, thing","nm","419"
"420","verdadero","true, real","adj","420"
"421","dónde","where?","adv","421"
"422","aprender","to learn","v","422"
"423","amor","love","nm","423"
"424","muerte","death","nf","424"
"425","partido","party, group, sports match","nm","425"
"426","económico","economic","adj","426"
"427","derecho","right, justice, law (nm)","nm","427"
"428","poder","power (nm)","nm","428"
"429","importancia","importance","nf","429"
"430","sistema","system","nm","430"
"431","viaje","travel, trip","nm","431"
"432","suelo","ground, floor","nm","432"
"433","respecto","respect: with regards to","nm); con respecto a","433"
"434","conocimiento","knowledge","nm","434"
"435","libertad","freedom, liberty","nf","435"
"436","encima","above, on top, in addition","adv","436"
"437","comprar","to buy","v","437"
"438","común","common","adj","438"
"439","abierto","open, unlocked","adj","439"
"440","próximo","next","adj","440"
"441","atención","attention","nf","441"
"442","joven","young (adj)","adj","442"
"443","subir","to go up","v","443"
"444","esfuerzo","effort, endeavor","nm","444"
"445","pasado","past, last (adj)","adj","445"
"446","evitar","to avoid, prevent [also prevenir]","v","446"
"447","resto","rest, remainder, leftover","nm","447"
"448","interesar","to interest","v","448"
"449","zona","area, zone (nf)","nf","449"
"449","ladrón","thief","nm","449"
"450","miedo","fear [also temor]","nm","450"
"451","fuera","out, outside, away","adv","451"
"452","proceso","process, procedure","nm","452"
"453","vivo","alive, bright","adj","453"
"454","cerrar","to close","v","454"
"455","echar","to throw","v","455"
"456","responder","to answer, respond","v","456"
"457","sufrir","to suffer, undergo","v","457"
"458","completo","complete","adj","458"
"459","minuto","minute","nm","459"
"460","contrario","contrary, opposite","adj","460"
"461","mesa","table, board","nf","461"
"462","real","royal, real, authentic","adj","462"
"463","ocasión","opportunity, occasion","nf","463"
"464","importar","to matter, import","v","464"
"465","público","public (adj)","adj","465"
"466","obtener","to obtain","v","466"
"467","programa","program, plan","nm","467"
"468","favor","favor, benefit","nm","468"
"469","lejos","far away, far off","adv","469"
"470","siete","seven","num","470"
"471","enorme","enormous, vast","adj","471"
"472","respuesta","answer, reply","nf","472"
"473","línea","line, course","nf","473"
"474","espacio","space, room","nm","474"
"475","nivel","level","nm","475"
"476","gobierno","government","nm","476"
"477","cabo","end, bit","nm","477"
"478","observar","to observe, to notice","v","478"
"479","indicar","to indicate","v","479"
"480","alguien","somebody, someone, anyone","pron","480"
"481","pregunta","question","nf","481"
"482","claro","of course, clearly (adv)","adv","482"
"483","atrás","behind","adv","483"
"484","imagen","image, picture","nf","484"
"485","carrera","career, course, race","nf","485"
"486","imaginar","to imagine","v","486"
"487","soler","to be accustomed to [also acostumbrar]","v","487"
"488","ambos","both","adj","488"
"489","profundo","deep, profound","adj","489"
"490","detener","to stop, detain","v","490"
"491","desarrollar","to develop","v","491"
"492","ocho","eight","num","492"
"493","señalar","to point out, signal","v","493"
"494","elegir","to choose, elect","v","494"
"495","figura","figure","nf","495"
"496","principal","main, principal","adj","496"
"497","animal","animal","nm","497"
"498","base","base, basis","nf","498"
"499","preparar","to prepare","v","499"
"500","proponer","to propose","v","500"
"501","demostrar","to show, demonstrate","v","501"
"502","significar","to mean","v","502"
"503","posición","position","nf","503"
"504","motivo","motive, cause, motif","nm","504"
"505","prueba","proof, trial, test","nf","505"
"506","política","politics, policy","nf","506"
"507","nacional","national","adj","507"
"508","lleno","full, filled (as an object would de filled)","adj","508"
"509","reunir","to put togerther, to get together [also juntar]","v","509"
"510","faltar","to be lacking","v","510"
"511","supuesto","supposed: of course","adj); por supuesto","511"
"512","acompañar","to accompany","v","512"
"513","dato","data, fact","nm","513"
"514","fácil","easy","adj","514"
"515","desear","to want, desire, wish for","v","515"
"516","adelante","forward, further","adv","516"
"517","empresa","firm, company, venture","nf","517"
"518","asunto","matter, issue, affair","nm","518"
"519","presencia","presence, appearance","nf","519"
"520","suyo","his, hers, yours, theirs (formal)","pron","520"
"521","cultura","culture","nf","521"
"522","serie","series","nf","522"
"523","millón","million, fortune","num","523"
"524","enseñar","to teach, show","v","524"
"525","construir","to construct, build","v","525"
"526","vender","to sell","v","526"
"527","representar","to represent","v","527"
"528","desaparecer","to disappear, vanish","v","528"
"529","mandar","to send, order","v","529"
"530","carácter","personality, nature","nm","530"
"531","mayoría","majority","nf","531"
"532","escuela","school","nf","532"
"533","rojo","red","adj","533"
"534","tras","after, behind","prep","534"
"535","superior","superior, upper","adj","535"
"536","andar","to walk&nbsp;[also caminar]","v","536"
"537","corto","short, brief","adj","537"
"538","autor","writer, author","nm/f","538"
"539","hermano","brother, [pl] siblings","nm","539"
"540","conocido","known, well-known","adj","540"
"541","preferir","to prefer","v","541"
"542","asegurar","to assure, secure, insure","v","542"
"543","función","function, meeting","nf","543"
"544","arriba","up above","adv","544"
"545","serio","serious","adj","545"
"546","causa","cause","nf","546"
"547","suficiente","sufficient, enough","adj","547"
"548","grave","serious, solemn","adj","548"
"549","decisión","decision","nf","549"
"550","música","music","nf","550"
"551","extraño","strange, foreign","adj","551"
"552","crecer","to grow, increase","v","552"
"553","surgir","to appear, spring forth","v","553"
"554","tú","you (subj singular familiar)","pron) [also vos]","554"
"555","expresión","expression","nf","555"
"556","alrededor","about, around, round (adv)","adv","556"
"557","matar","to kill","v","557"
"558","entregar","to deliver","v","558"
"559","río","river","nm","559"
"560","seguridad","security, safety","nf","560"
"561","término","term (language), end","nm","561"
"562","colocar","to place, position","v","562"
"563","metro","meter (unit of measure), subway","nm","563"
"564","médico","doctor (nm/f)","nm/f","564"
"565","establecer","to establish","v","565"
"566","guardar","to keep, save","v","566"
"567","arte","art, skill","nm","567"
"568","iniciar","to initiate, start","v","568"
"569","bajar","to come down, let down","v","569"
"570","consecuencia","consequence","nf","570"
"571","notar","to notice [also percibir]","v","571"
"572","acto","act, action","nm","572"
"573","meter","to put into","v","573"
"574","absoluto","absolute","adj","574"
"575","pena","trouble (be of worth)","nf) ","575"
"576","actuar","to act","v","576"
"577","segundo","second (nm)","nm","577"
"578","altura","height, altitude","nf","578"
"579","deseo","desire, wish","nm","579"
"580","precisamente","precisely","adv","580"
"581","joven","teenager, young person (nc)","nc","581"
"582","veinte","twenty","num","582"
"583","sueño","dream, sleep","nm","583"
"584","pretender","to attempt","v","584"
"585","tarea","task, job","nf","585"
"586","carta","letter, playing card","nf","586"
"587","apenas","hardly, barely","adv","587"
"588","propiedad","property","nf","588"
"589","producto","product","nm","589"
"590","personal","personal (adj)","adj","590"
"591","simplemente","simply, just","adv","591"
"592","imposible","impossible","adj","592"
"593","gusto","pleasure, taste, preference","nm","593"
"594","ayuda","help, aid","nf","594"
"595","acordar","to remember, remind","v) [also recordar]","595"
"596","lengua","language, tongue, strip of land","nf","596"
"597","cortar","to cut","v","597"
"598","plan","plan","nm","598"
"599","corresponder","to correspond with","v","599"
"600","vuelta","return, turn","nf","600"
"601","romper","to break","v","601"
"602","siquiera","even if","adv","602"
"603","adquirir","to acquire, get","v","603"
"604","proyecto","project, plan","nm","604"
"605","memoria","memory","nf","605"
"606","origen","origin, cause","nm","606"
"607","elemento","element","nm","607"
"608","inglés","English","adj","608"
"609","mercado","market","nm","609"
"610","curso","course, direction","nm","610"
"611","lanzar","to throw (violently), to hurl [also arrojar]","v","611"
"612","aprovechar","to take advantage of","v","612"
"613","sangre","blood","nf","613"
"614","interior","interior, inside (nm)","nm","614"
"615","duro","hard (adj)","adj","615"
"616","apoyar","to support, lean on","v","616"
"617","negar","to deny, refuse","v","617"
"618","avanzar","to advance, progress","v","618"
"619","uso","use","nm","619"
"620","brazo","arm","nm","620"
"621","profesor","professor, teacher","nm/f","621"
"622","resolver","to resolve, settle, work out","v","622"
"623","futuro","future (nm)","nm","623"
"624","oportunidad","opportunity, chance","nf","624"
"625","mitad","half, middle","nf","625"
"626","costar","to cost, to be hard to do","v","626"
"627","rico","rich, tasty","adj","627"
"628","recuerdo","memory, keepsake","nm","628"
"629","total","total, entire (adj)","adj","629"
"630","exigir","to demand","v","630"
"631","abajo","down, below, downward","adv","631"
"632","opinión","opinion, view","nf","632"
"633","aumentar","to increase [also incrementar]","v","633"
"634","recoger","to pick up","v","634"
"635","boca","mouth, entrance, opening","nf","635"
"636","dirección","direction, address","nf","636"
"637","puro","pure, clean","adj","637"
"638","abandonar","to abandon, leave (a place)","v","638"
"639","pieza","piece, part","nf","639"
"640","profesional","professional","adj","640"
"641","imponer","to impose, enforce","v","641"
"642","obligar","to obligate, force","v","642"
"643","físico","physical (adj)","adj","643"
"644","actitud","attitude","nf","644"
"645","mar","sea","nmf","645"
"646","francés","French","adj","646"
"647","entrada","entrance, admission ticket","nf","647"
"648","contacto","contact","nm","648"
"649","corazón","heart, core","nm","649"
"650","aplicar","to apply","v","650"
"651","capital","capital city (f), money (m)","nmf","651"
"652","rápido","quick, fast","adj","652"
"653","título","title, heading","nm","653"
"654","pertenecer","to belong","v","654"
"655","cuarto","room, chamber (nm)","nm","655"
"656","material","material, element (nm)","nm","656"
"657","golpe","hit, strike, punch","nm","657"
"658","disponer","to have means, dispose","v","658"
"659","comunicación","communication","nf","659"
"660","expresar","to express","v","660"
"661","simple","simple, mere, simple-minded","adj","661"
"662","totalmente","totally, completely","adv","662"
"663","provocar","to cause, provoke","v","663"
"664","normal","normal, usual, regular","adj","664"
"665","defender","to defend, protect","v","665"
"666","enfermedad","illness, sickness","nf","666"
"667","bien","goods, property, benefit (nm)","nm","667"
"668","materia","matter, subject","nf","668"
"669","quitar","to remove, take away","v","669"
"670","conservar","to conserve, preserve","v","670"
"671","moderno","modern","adj","671"
"672","sitio","place, space","nm","672"
"673","depender","to depend on","v","673"
"674","naturaleza","nature","nf","674"
"675","capacidad","capacity","nf","675"
"676","actual","current (adj)","adj","676"
"677","marcar","to mark, note, dial","v","677"
"678","distancia","distance","nf","678"
"679","pleno","complete, fulfilled (as emotionally)","adj","679"
"680","cerrado","closed","adj","680"
"681","compartir","to share","v","681"
"682","información","information","nf","682"
"683","ambiente","environment, atmosphere","nm","683"
"684","especialmente","especially","adv","684"
"685","desarrollo","development","nm","685"
"686","sol","sun","nm","686"
"687","muerto","dead (adj)","adj","687"
"688","consistir","to consist of","v","688"
"689","constituir","to constitute, consist of","v","689"
"690","dispuesto","willing, ready","adj","690"
"691","cubrir","to cover","v","691"
"692","funcionar","to work, function","v","692"
"693","compañero","companion, classmate","nm","693"
"694","salida","exit, escape, outcome","nf","694"
"695","caber","to fit into","v","695"
"696","conciencia","conscience, consciousness","nf","696"
"697","atender","to serve, attend to","v","697"
"698","enfermo","ill, sick","adj","698"
"699","insistir","to insist on","v","699"
"700","costumbre","habit, custom, usage","nf","700"
"701","detrás","in the back","adv","701"
"702","paz","peace","nf","702"
"703","noticia","news","nf","703"
"704","circunstancia","circumstance","nf","704"
"705","dolor","pain, ache, sorrow","nm","705"
"706","privado","private","adj","706"
"707","estilo","style","nm","707"
"708","precio","price, cost, value","nm","708"
"709","popular","popular","adj","709"
"710","sentar","to sit down, seat","v","710"
"711","planta","plant, floor","nf","711"
"712","personaje","character (e.g. movie)","nm","712"
"713","famoso","famous, well-known","adj","713"
"714","éxito","success","nm","714"
"715","hija","daughter","nf","715"
"716","merecer","to deserve, be worthy of","v","716"
"717","edificio","building","nm","717"
"718","autoridad","authority","nf","718"
"719","piedra","stone, rock","nf","719"
"720","incluir","to include","v","720"
"721","conjunto","group, set","nm","721"
"722","treinta","thirty","num","722"
"723","cuánto","how much?","adj","723"
"724","inmediato","immediate","adj","724"
"725","suerte","luck, fortune","nf","725"
"726","cruzar","to cross [also atravesar]","v","726"
"727","tender","to tend to, lay out","v","727"
"728","finalmente","finally, at last","adv","728"
"729","junto","together (adj)","adj","729"
"730","anunciar","to announce, advertise","v","730"
"731","espíritu","spirit, ghost","nm","731"
"732","miembro","member, limb","nm","732"
"733","directo","direct, straight","adj","733"
"734","despertar","to wake up, arouse","v","734"
"735","recurso","resource, recourse, means","nm","735"
"736","pared","interior wall","nf","736"
"737","equipo","team, equipment, outfit","nm","737"
"738","error","error, mistake","nm","738"
"739","preciso","precise, necessary","adj","739"
"740","diverso","different, several, diverse","adj","740"
"741","dificultad","difficulty, obstacle","nf","741"
"742","comentar","to comment on","v","742"
"743","publicar","to publish","v","743"
"744","familiar","familiar, of the family (adj)","adj","744"
"745","voluntad","will, willpower, intention","nf","745"
"746","reunión","meeting, reunion","nf","746"
"747","modelo","model, pattern","nc","747"
"748","cargar","to load up, carry","v","748"
"749","fecha","date, day","nf","749"
"750","participar","to participate","v","750"
"751","impedir","to prevent, hinder","v","751"
"752","propósito","intention, purpose","nm","752"
"753","salvar","to save, rescue","v","753"
