"index","word","meaning","furi","pos","e.g.","eng","freq"
"25","千","thousand","千[せん]","Noun","<b> 千[せん]</b> 円貸[えん か]してください。","Please lend me 1000 yen.","336"
"26","万","ten thousand","万[まん]","Noun","この 靴[くつ]は 1[いち]<b> 万[まん]</b> 円[えん]です。","These shoes are ten thousand yen.","300"
"27","円","circle","円[えん]","Noun","そこに 大[おお]きな<b> 円[えん]</b>を 描[か]いて。","Draw a big circle there.","503"
"28","円","yen","円[えん]","Noun","カレーライスは 700[ななひゃく]<b> 円[えん]</b>です。","The curry and rice is 700 yen.","503"
"29","時","time","時[とき]","Noun","<b> 時[とき]</b>の 経[た]つのは 早[はや]い。","Time passes by quickly.","87"
"30","する","do, make","する","Verb","友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。","I did my homework with a friend.","10"
"31","時々","sometimes","時々[ときどき]","Adverb","彼[かれ]は<b> 時々[ときどき]</b> 遅刻[ちこく]します。","He's sometimes late.","2199"
"32","日","day","日[にち]","Noun","私[わたし]たちは 先月11[せんげつ じゅういち]<b> 日[にち]</b>に 結婚[けっこん]しました。","We got married last month on the 11th.","94"
"33","六日","six days, 6th of the month","六日[むいか]","Noun","<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。","I came back to Japan six days ago.","111256"
"34","三日","three days, 3rd of the month","三日[みっか]","Noun","手紙[てがみ]が 届[とど]くのに<b> 三日[みっか]</b>かかりました。","It took three days for the letter to arrive.","182214"
"35","五日","five days, 5th of the month","五日[いつか]","Noun","五月[ごがつ]<b> 五日[いつか]</b>は 祝日[しゅくじつ]です","May 5th is a holiday.","149693"
"36","八日","eight days, 8th of the month","八日[ようか]","Noun","<b> 八日[ようか]</b>からイギリスに 行[い]きます。","I go to England on the eighth.","161821"
"37","二十日","20 days, 20th of the month","二十日[はつか]","Noun","来月[らいげつ]の<b> 二十日[はつか]</b>は 弟[おとうと]の 誕生日[たんじょうび]です。","The 20th of next month is my little brother's birthday.","32654"
"38","二日","two days, 2nd of the month","二日[ふつか]","Noun","私[わたし]は<b> 二日[ふつか]</b> 待[ま]った。","I waited two days.","131093"
"39","九日","nine days, 9th of the month","九日[ここのか]","Noun","<b> 九日[ここのか]</b>に 荷物[にもつ]が 届[とど]きます。","The package will arrive on the ninth.",""
"40","ところ","place","ところ","Noun","私[わたし]は 友達[ともだち]の<b>ところ</b>に 泊[と]まった。","I stayed at my friend's place for the night.","92"
"41","一日","1st of the month","一日[ついたち]","Noun","来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。","Are you free on the 1st of next month?","182214"
"42","十日","ten days, 10th of the month","十日[とおか]","Noun","<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。","I'll come home in ten days.","79296"
"43","七日","seven days, 7th of the month","七日[なのか]","Noun","先月[せんげつ]の<b> 七日[なのか]</b>に 孫[まご]が 生[う]まれました。","My grandchild was born on the seventh of last month.","161821"
"44","四日","four days, 4th of the month","四日[よっか]","Noun","新学期[しんがっき]は 来月[らいげつ]の<b> 四日[よっか]</b>からです。","The new school term starts on the fourth of next month.",""
"45","月","moon","月[つき]","Noun","今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。","The moon looks so beautiful tonight.","535"
"46","水","water","水[みず]","Noun","<b> 水[みず]</b>を 一杯[いっぱい]ください。","Please give me a glass of water.","309"
"47","金","money","金[かね]","Noun","これはかなり<b> 金[かね]</b>がかかった。","This cost quite a bit of money.","269"
"48","日曜日","Sunday","日曜日[にちようび]","Noun","<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。","We went to the seaside on Sunday.","3720"
"49","土曜日","Saturday","土曜日[どようび]","Noun","<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。","I'm going to a club Saturday night.","5196"
"50","やる","do","やる","Verb","一緒[いっしょ]に 宿題[しゅくだい]を<b>やろう</b>。","Let's do our homework together.","78"
"51","金曜日","Friday","金曜日[きんようび]","Noun","<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。","I go out with my friends on Friday nights.","7625"
"52","月曜日","Monday","月曜日[げつようび]","Noun","<b> 月曜日[げつようび]</b>に 会[あ]いましょう。","Let's meet on Monday.","7822"
"53","木曜日","Thursday","木曜日[もくようび]","Noun","<b> 木曜日[もくようび]</b>は 仕事[しごと]が 休[やす]みです。","Thursday is my day off work.","13245"
"54","曜日","day of the week","曜日[ようび]","Noun","<b> 曜日[ようび]</b>を 間違[まちが]えました。","I got the day of the week wrong.","29940"
"55","火曜日","Tuesday","火曜日[かようび]","Noun","<b> 火曜日[かようび]</b>に 会議[かいぎ]があります。","There's a meeting on Tuesday.","12773"
"56","水曜日","Wednesday","水曜日[すいようび]","Noun","<b> 水曜日[すいようび]</b>はバイトがあります。","I have a part-time job on Wednesdays.","12590"
"57","週","week","週[しゅう]","Noun","その 次[つぎ]の<b> 週[しゅう]</b>は 空[あ]いてますか。","Are you free the following week?","4817"
"58","年","year, age","年[とし]","Noun","新[あたら]しい<b> 年[とし]</b>が 始[はじ]まりました。","A new year has started.","99"
"59","分かる","understand","分[わ]かる","Verb","質問[しつもん]の 意味[いみ]は<b> 分[わ]かりました</b>か。","Did you understand the meaning of the question?","433"
"60","そう","in such manner, that way","そう","Adverb","私[わたし]も<b>そう</b> 思[おも]います。","That's what I think too.","30"
"61","何","what, which","何[なに]","Noun","夕食[ゆうしょく]には<b> 何[なに]</b>を 食[た]べたいですか。","What would you like for supper?","53"
"62","先","ahead, first","先[さき]","Noun","お<b> 先[さき]</b>にどうぞ。","Please go ahead.","259"
"63","今年","this year","今年[ことし]","Noun","<b> 今年[ことし]</b>はイタリアに 旅行[りょこう]したい。","I want to travel to Italy this year.","2139"
"64","今","now","今[いま]","Adverb","彼[かれ]は<b> 今[いま]</b>、 勉強[べんきょう]しています。","He's studying now.","147"
"65","今日","today","今日[きょう]","Noun","<b> 今日[きょう]</b>は 仕事[しごと]がありません。","I have no work today.","278"
"66","今月","this month","今月[こんげつ]","Noun","<b> 今月[こんげつ]</b>はとても 忙[いそが]しい。","I'm very busy this month.","12272"
"67","今週","this week","今週[こんしゅう]","Noun","<b> 今週[こんしゅう]</b>は 日本語[にほんご]のテストがあります。","There's a Japanese test this week.","16739"
"68","来る","come","来[く]る","Verb","彼[かれ]は 昼過[ひるす]ぎに<b> 来[き]ます</b>。","He'll come after lunch.","63"
"69","来年","next year","来年[らいねん]","Noun","<b> 来年[らいねん]</b> 一緒[いっしょ]に 旅行[りょこう]しましょう。","Let's travel together next year.","6153"
"70","もう","already, yet","もう","Adverb","彼[かれ]は<b>もう</b> 帰[かえ]りました。","He's already gone home.","103"
"71","行く","go","行[い]く","Verb","日曜日[にちようび]は 図書館[としょかん]に<b> 行[い]きます</b>。","I go to the library on Sundays.","67"
"72","帰る","return, go back","帰[かえ]る","Verb","家[うち]に<b> 帰[かえ]ろう</b>。","Let's go home.","175"
"73","大きい","big","大[おお]きい","Adjective","あの<b> 大[おお]きい</b> 建物[たてもの]は 何[なん]ですか。","What's that big building?","905"
"74","小さい","small","小[ちい]さい","Adjective","<b> 小[ちい]さい</b> 花[はな]が 咲[さ]いています。","Small flowers are blooming.","550"
"75","少ない","few, little","少[すく]ない","Adjective","今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。","There's not much rain this year.","1081"
"76","少し","a little, a little while (polite)","少[すこ]し","Adverb","<b> 少[すこ]し</b> 疲[つか]れました。","I'm a little tired.","204"
"77","多い","lots of","多[おお]い","Adjective","京都[きょうと]にはお 寺[てら]が<b> 多[おお]い</b>。","There are a lot of temples in Kyoto.","334"
"78","多分","probably, perhaps","多分[たぶん]","Adverb","彼女[かのじょ]は<b> 多分[たぶん]</b> 家[いえ]で 寝[ね]ています。","She's probably sleeping at home.","1977"
"79","上げる","raise, improve","上[あ]げる","Verb","彼[かれ]は 荷物[にもつ]をあみだなに<b> 上[あ]げた</b>。","He put the luggage on the luggage rack.","358"
"80","よく","often","よく","Adverb","彼女[かのじょ]は<b>よく</b> 旅行[りょこう]に 行[い]きます。","She often goes on holiday.","154"
"81","上る","go up, climb up","上[のぼ]る","Verb","猫[ねこ]が 屋根[やね]に<b> 上[のぼ]っている</b>。","The cat's up on the roof.","856"
"82","上","up, above","上[うえ]","Noun","<b> 上[うえ]</b>を 向[む]いて。","Look up.","120"
"83","下","under, below","下[した]","Noun","財布[さいふ]は 机[つくえ]の<b> 下[した]</b>にあった。","My purse was under the desk.","219"
"84","右","right","右[みぎ]","Noun","<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。","There's a handkerchief in my right pocket.","564"
"85","左","left","左[ひだり]","Noun","そこを<b> 左[ひだり]</b>に 曲[ま]がってください。","Please turn left there.","715"
"86","方","direction, side","方[ほう]","Noun","彼[かれ]は 私[わたし]の<b> 方[ほう]</b>を 見[み]ました。","He looked at me.","121"
"87","大人","adult","大人[おとな]","Noun","お 酒[さけ]は<b> 大人[おとな]</b>になってから。","You can drink alcohol when you're an adult.","1516"
"88","人","person","人[ひと]","Noun","彼[かれ]は 優[やさ]しい<b> 人[ひと]</b>です。","He's a nice guy.","31"
"89","一人","one, one person","一人[ひとり]","Noun","そこには 私[わたし]<b> 一人[ひとり]</b>しかいなかった。","I was the only one there.","97423"
"90","どう","how, what","どう","Adverb","あなたは<b>どう</b> 思[おも]いますか。","What do you think?","112"
"91","入れる","put in","入[い]れる","Verb","彼[かれ]はかばんに 手帳[てちょう]を<b> 入[い]れた</b>。","He put the appointment book in his bag.","234"
"92","入る","enter","入[はい]る","Verb","寒[さむ]いので 中[なか]に<b> 入[はい]って</b>ください。","It's cold so please come inside.","126"
"93","出る","go out, leave","出[で]る","Verb","今朝[けさ]は 早[はや]く 家[いえ]を<b> 出[で]ました</b>。","I left the house early this morning.","76"
"94","できる","can do, be good at","できる","Verb","彼女[かのじょ]はイタリア 語[ご]が<b> できます</b>。","She knows Italian.","72"
"95","出す","take out, turn in","出[だ]す","Verb","彼[かれ]はかばんから 教科書[きょうかしょ]を<b> 出[だ]した</b>。","He took the textbook out of his bag.","130"
"96","本","book, volume","本[ほん]","Noun","<b> 本[ほん]</b>を １冊買[いっさつ か]いました。","I bought one book.","208"
"97","休む","take a day off, take a break","休[やす]む","Verb","明日[あした]、 会社[かいしゃ]を<b> 休[やす]みます</b>。","I'm off work tomorrow.","1706"
"98","体","body, health","体[からだ]","Noun","私[わたし]は<b> 体[からだ]</b>が 丈夫[じょうぶ]だ。","I'm physically strong.","242"
"99","目","eye","目[め]","Noun","彼女[かのじょ]は 青[あお]い<b> 目[め]</b>をしています。","She has blue eyes.","84"
"100","どこ","where","どこ","Noun","あの 本[ほん]を<b>どこ</b>に 置[お]きましたか。","Where did you put that book?","133"
"101","口","mouth","口[くち]","Noun","<b> 口[くち]</b>を 大[おお]きく 開[あ]けてください。","Open wide, please.","145"
"102","耳","ear, hearing","耳[みみ]","Noun","彼女[かのじょ]は<b> 耳[みみ]</b>がよく 聞[き]こえません。","Her hearing isn't very good.","328"
"103","上手","skilled,&nbsp;good","上手[じょうず]","Adjectival Noun","妹[いもうと]は 歌[うた]が<b> 上手[じょうず]</b>です。","My little sister can sing.","3003"
"104","手","hand","手[て]","Noun","分[わ]かった 人[ひと]は<b> 手[て]</b>を 上[あ]げてください。","Please raise your hand if you understand.","81"
"105","足","leg, foot","足[あし]","Noun","彼[かれ]は<b> 足[あし]</b>が 長[なが]い。","He has long legs.","261"
"106","空く","become empty, become less crowded","空[す]く","Verb","レストランは<b> 空[す]いていました</b>。","The restaurant was empty.","3139"
"107","男","man, male","男[おとこ]","Noun","<b> 男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。","This guy began talking to us.","68"
"108","女","woman, girl","女[おんな]","Noun","店員[てんいん]は 若[わか]い<b> 女[おんな]</b>の 人[ひと]でした。","The salesclerk was a young woman.","97"
"109","子供","child, kid","子供[こども]","Noun","電車[でんしゃ]で<b> 子供[こども]</b>が 騒[さわ]いでいた。","Kids were making a racket in the train.","268"
"110","あげる","give","あげる","Verb","この 本[ほん]、あなたに<b>あげます</b>。","I'll give you this book.","181"
"111","好き","favorite, liked","好[す]き","Adjectival Noun","私[わたし]はワインが<b> 好[す]き</b>です。","I like wine.","368"
"112","大好き","love","大好[だいす]き","Adjective","私[わたし]は 犬[いぬ]が<b> 大好[だいす]き</b>だ。","I love dogs.","3717"
"113","私","I","私[わたし]","Noun","<b> 私[わたし]</b>が 行[い]きましょう。","Why don't I go.","41"
"114","友達","friend, companion","友達[ともだち]","Noun","私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。","I have a lot of friends.","1384"
"115","家","house, home, my family","家[うち]","Noun","<b> 家[うち]</b>に 遊[あそ]びに 来[き]てください。","Please come over to my house.","114"
"116","気","spirit, temperament","気[き]","Noun","彼[かれ]は 意外[いがい]に<b> 気[き]</b>が 小[ちい]さい。","He's unexpectedly timid.","106"
"117","元気","healthy, energetic","元気[げんき]","Adjective","おかげさまで<b> 元気[げんき]</b>です。","I'm fine, thank you.","1055"
"118","天気","weather","天気[てんき]","Noun","今日[きょう]はいい<b> 天気[てんき]</b>ですね。","It's nice out today.","5509"
"119","晴れる","be sunny, clear up","晴[は]れる","Verb","明日[あした]は<b> 晴[は]れる</b>といいですね。","I hope it'll be sunny tomorrow.","3331"
"120","こう","like this, this kind of","こう","Adverb","<b>こう</b> 小[ちい]さい 字[じ]は 読[よ]めない。","I can't read such small letters.","253"
"121","昨日","yesterday","昨日[きのう]","Noun","<b> 昨日[きのう]</b>、 友達[ともだち]に 会[あ]った。","I met a friend yesterday.","878"
"122","開ける","open, unlock","開[あ]ける","Verb","窓[まど]を<b> 開[あ]けて</b>ください。","Please open the window.","478"
"123","開く","open を/が","開[ひら]く","Verb","32[さんじゅうに]ページを<b> 開[ひら]いて</b>ください。","Please open to page 32.","280"
"124","閉じる","close (book, eyes, etc.)","閉[と]じる","Verb","教科書[きょうかしょ]を<b> 閉[と]じて</b>ください。","Please close your textbooks.","1059"
"125","閉める","shut, close","閉[し]める","Verb","ちゃんとドアを<b> 閉[し]めて</b>よ。","Close the door properly.","2053"
"126","閉まる","be shut, be closed","閉[し]まる","Verb","お 店[みせ]はもう<b> 閉[し]まっていました</b>。","The shop had already closed.","5612"
"127","聞く","hear, ask","聞[き]く","Verb","彼女[かのじょ]はラジオを<b> 聞[き]いています</b>。","She's listening to the radio.","117"
"128","時間","time, hour","時間[じかん]","Noun","今[いま]は<b> 時間[じかん]</b>がありません。","I don't have time now.","188"
"129","高い","high, tall","高[たか]い","Adjective","これがこの 町[まち]で 一番[いちばん]<b> 高[たか]い</b>ビルです。","This is the tallest building in town.","294"
"130","くれる","give (to me)","くれる","Verb","友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>くれた</b>。","My friend gave me a birthday present.","80"
"131","安い","inexpensive, cheap","安[やす]い","Adjective","この 服[ふく]はとても<b> 安[やす]かった</b>。","These clothes were very cheap.","2485"
"132","低い","low, short","低[ひく]い","Adjective","彼[かれ]は 背[せ]が<b> 低[ひく]い</b>。","He's short.","675"
"133","前","front, before","前[まえ]","Noun","その 店[みせ]の<b> 前[まえ]</b>で 会[あ]いましょう。","Let's meet in front of the shop.","88"
"134","後","after","後[あと]","Adverb","仕事[しごと]の<b> 後[あと]</b>、 映画[えいが]を 見[み]た。","I saw a movie after work.","194"
"135","後ろ","back, behind","後[うし]ろ","Noun","<b> 後[うし]ろ</b>を 向[む]いて。","Turn around.","826"
"136","午後","afternoon, p.m.","午後[ごご]","Noun","明日[あす]の<b> 午後[ごご]</b>、お 客様[きゃくさま]が 来[く]る。","A guest is coming to visit tomorrow afternoon.","792"
"137","午前","morning, a.m.","午前[ごぜん]","Noun","<b> 午前[ごぜん]</b> 9時[くじ]のニュースです。","And now for the 9.00 a.m. news.","1918"
"138","朝","morning","朝[あさ]","Noun","気持[きも]ちのいい<b> 朝[あさ]</b>です。","It's a pleasant morning.","431"
"139","昼","daytime, midday, lunch","昼[ひる]","Noun","私[わたし]は<b> 昼[ひる]</b>のドラマを 毎日見[まいにち み]ます。","I watch daytime dramas every day.","2069"
"140","かなり","fairly, rather","かなり","Adverb","彼[かれ]は<b>かなり</b> 英語[えいご]が 上手[じょうず]です。","He's pretty good at English.","516"
"141","晩","evening (usually from sunset to bedtime)","晩[ばん]","Noun","<b> 晩[ばん]</b>ご 飯[はん]は 食[た]べましたか。","Have you had dinner?","901"
"142","今晩","this evening, tonight","今晩[こんばん]","Noun","<b> 今晩[こんばん]</b>のパーティーは 何時[なんじ]からですか。","From what time is the party tonight?","4532"
"143","夜","night (from sunset to sunrise)","夜[よる]","Noun","きのうの<b> 夜[よる]</b>は 家[いえ]にいました。","I was at home last night.","211"
"144","食べる","eat","食[た]べる","Verb","昨日[きのう]タイカレーを<b> 食[た]べました</b>。","I had Thai curry yesterday.","393"
"145","飲む","drink","飲[の]む","Verb","友達[ともだち]とお 酒[さけ]を<b> 飲[の]んでいます</b>。","I'm drinking sake with a friend.","335"
"146","ご飯","cooked rice, meal","ご 飯[はん]","Noun","私[わたし]はパンより<b>ご 飯[はん]</b>が 好[す]きだ。","I prefer rice to bread.","6578"
"147","買う","buy","買[か]う","Verb","郵便局[ゆうびんきょく]で 切手[きって]を<b> 買[か]いました</b>。","I bought a stamp at the post office.","437"
"148","見る","see, look at","見[み]る","Verb","私[わたし]は 絵[え]を<b> 見[み]る</b>のが 好[す]きです。","I like looking at pictures.","45"
"149","見せる","show","見[み]せる","Verb","その 写真[しゃしん]を<b> 見[み]せて</b>ください。","Please show me those pictures.","288"
"150","もっと","more","もっと","Adverb","<b>もっと</b> 近[ちか]くに 来[き]てください。","Please come closer.","367"
"151","見つける","find (something)","見[み]つける","Verb","新[あたら]しい 仕事[しごと]を<b> 見[み]つけました</b>。","I found a new job.","728"
"152","見える","be visible","見[み]える","Verb","ここから 富士山[ふじさん]がよく<b> 見[み]えます</b>。","You can see Mount Fuji well from here.","132"
"153","見つかる","be found, be caught","見[み]つかる","Verb","メガネが<b> 見[み]つかりません</b>。","I can't find my glasses.","1183"
"154","言う","say, tell","言[い]う","Verb","上司[じょうし]が「 一杯[いっぱい]、 飲[の]もう。」と<b> 言[い]った</b>。","""My boss said: """"Let's have a drink.""""""","32"
"155","話す","speak, tell","話[はな]す","Verb","母[はは]と 電話[でんわ]で<b> 話[はな]しました</b>。","I spoke to my mother on the phone.","240"
"156","読む","read","読[よ]む","Verb","彼女[かのじょ]は 雑誌[ざっし]を<b> 読[よ]んでいます</b>。","She's reading the magazine.","344"
"157","漢字","Chinese character","漢字[かんじ]","Noun","<b> 漢字[かんじ]</b>は 中国[ちゅうごく]から 来[き]ました。","Kanji came from China.","7172"
"158","書く","write","書[か]く","Verb","彼[かれ]に 手紙[てがみ]を<b> 書[か]きました</b>。","I wrote him a letter.","193"
"159","覚える","memorize, learn","覚[おぼ]える","Verb","妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ]<b> 覚[おぼ]えました</b>。","My little sister learned all the hiragana.","555"
"160","そこ","there","そこ","Pronoun","<b>そこ</b>に 座[すわ]ってください。","Please sit there.","135"
"161","会う","meet","会[あ]う","Verb","また<b> 会[あ]いましょう</b>。","Let's meet again.","264"
"162","仕事","work, job","仕事[しごと]","Noun","3月[さんがつ]は<b> 仕事[しごと]</b>が 忙[いそが]しい。","I have a lot of work in March.","236"
"163","場合","situation, case","場合[ばあい]","Noun","分[わ]からない<b> 場合[ばあい]</b>は 私[わたし]に 聞[き]いてください。","Please ask me if you don't understand.","375"
"164","車","car, automobile","車[くるま]","Noun","弟[おとうと]が<b> 車[くるま]</b>を 買[か]った。","My younger brother bought a car.","305"
"165","電車","train","電車[でんしゃ]","Noun","私[わたし]は<b> 電車[でんしゃ]</b>で 通学[つうがく]しています。","I go to school by train.","1809"
"166","駅","railway station","駅[えき]","Noun","<b> 駅[えき]</b>はどこですか。","Where's the station?","817"
"167","道","way, road, street","道[みち]","Noun","この<b> 道[みち]</b>を 真[ま]っ 直[す]ぐ 行[い]くと 駅[えき]です。","Go straight along this road to get to the station.","277"
"168","他","other","他[ほか]","Noun","<b> 他[ほか]</b>に 方法[ほうほう]がありません。","There's no other way.","274"
"169","止める","stop, give up, abolish","止[や]める","Verb","話[はな]すのを<b> 止[や]めて</b>ください。","Stop talking, please.","652"
"170","ここ","here","ここ","Pronoun","<b>ここ</b>に 本[ほん]があります。","There's a book here.","116"
"171","歩く","walk, go on foot","歩[ある]く","Verb","駅[えき]まで<b> 歩[ある]きましょう</b>。","Let's walk to the station.","198"
"172","走る","run","走[はし]る","Verb","彼[かれ]は 毎晩3[まいばん さん]キロ<b> 走[はし]っています</b>。","Every night he runs three kilometers.","320"
"173","近く","near, close to","近[ちか]く","Adverb","駅[えき]の<b> 近[ちか]く</b>で 食事[しょくじ]をした。","I ate near the station.","453"
"174","近い","near, close","近[ちか]い","Adjective","駅[えき]はここから<b> 近[ちか]い</b>です。","The station is near here.","645"
"175","近く","vicinity, nearby","近[ちか]く","Noun","私[わたし]の 家[いえ]は 駅[えき]の<b> 近[ちか]く</b>です。","My house is near the station.","453"
"176","遠い","far, distant","遠[とお]い","Adjective","家[いえ]から 学校[がっこう]までは<b> 遠[とお]い</b>です。","It's a long way from my house to the school.","653"
"177","長い","long","長[なが]い","Adjective","彼女[かのじょ]の 髪[かみ]はとても<b> 長[なが]い</b>。","Her hair is very long.","316"
"178","短い","short, brief","短[みじか]い","Adjective","彼[かれ]は 足[あし]が<b> 短[みじか]い</b>。","His legs are short.","1071"
"179","広い","wide, big","広[ひろ]い","Adjective","彼[かれ]の 家[いえ]はとても<b> 広[ひろ]い</b>。","His house is very big.","830"
"180","もらう","receive","もらう","Verb","彼女[かのじょ]からプレゼントを<b>もらいました</b>。","I got a present from her.","224"
"181","全部","all, wholly","全部[ぜんぶ]","Adverb","それ、<b> 全部[ぜんぶ]</b>ください。","I'd like all of those, please.","777"
"182","国","country","国[くに]","Noun","私[わたし]の<b> 国[くに]</b>について 少[すこ]しお 話[はなし]しましょう。","Let me tell you a bit about my country.","373"
"183","白い","white, blank (for paper)","白[しろ]い","Adjective","彼[かれ]は 歯[は]が<b> 白[しろ]い</b>。","His teeth are white.","337"
"184","赤い","red","赤[あか]い","Adjective","<b> 赤[あか]い</b>バラを 買[か]いました。","I bought a red rose.","586"
"185","部屋","room","部屋[へや]","Noun","私[わたし]の<b> 部屋[へや]</b>は 2階[にかい]にあります。","My room is on the second floor.","153"
"186","米","rice (grain)","米[こめ]","Noun","日本人[にほんじん]はお<b> 米[こめ]</b>が 大好[だいす]きです。","Japanese people love rice.","1104"
"187","まだ","(not) yet, still","まだ","Adverb","宿題[しゅくだい]は<b>まだ</b> 終[お]わっていません。","I haven't finished my homework yet.","134"
"188","ある","exist, possess","ある","Verb","私[わたし]の 机[つくえ]の 上[うえ]に 書類[しょるい]がたくさん<b> あります</b>。","There are a lot of documents on my desk.","15"
"189","無い","to not be","無[な]い","Adjective","ここには 何[なに]も<b> 無[な]い</b>。","There's nothing here.","1082"
"190","とても","very","とても","Adverb","この 本[ほん]は<b>とても</b>おもしろい。","This book is very interesting.","426"
"191","作る","make, create","作[つく]る","Verb","今[いま]、 朝[あさ]ご 飯[はん]を<b> 作[つく]っています</b>。","I'm making breakfast now.","388"
"192","使う","use","使[つか]う","Verb","このパソコンを<b> 使[つか]って</b>ください。","Please use this computer.","248"
"193","消す","erase, turn off","消[け]す","Verb","昼間[ひるま]は 電気[でんき]を<b> 消[け]して</b>ください。","Please turn the lights off during the day.","1001"
"194","売る","sell を","売[う]る","Verb","彼[かれ]は 家[いえ]を<b> 売[う]った</b>。","He sold the house.","973"
"195","店","shop, store","店[みせ]","Noun","私[わたし]はこの<b> 店[みせ]</b>によく 来[き]ます。","I come to this store quite often.","354"
"196","春","spring","春[はる]","Noun","今年[ことし]の<b> 春[はる]</b>は 暖[あたた]かいね。","It's warm this spring, isn't it.","963"
"197","夏","summer","夏[なつ]","Noun","私[わたし]は<b> 夏[なつ]</b>が 大好[だいす]き。","I just love summer.","794"
"198","秋","autumn, fall","秋[あき]","Noun","彼女[かのじょ]は<b> 秋[あき]</b>に 結婚[けっこん]します。","She'll get married this fall.","1260"
"199","冬","winter","冬[ふゆ]","Noun","カナダの<b> 冬[ふゆ]</b>はとても 寒[さむ]いです。","Canada's winters are very cold.","1235"
