"157","expresión (nf)","expression"
"158","fecha (nf)","date, day"
"159","fiesta (nf)","party, feast"
"160","flor (nf)","flower"
"161","formación (nf)","formation, education"
"162","frase (nf)","phrase"
"163","fuente (nf)","source, fountain"
"164","función (nf)","function, meeting"
"165","generación (nf)","generation"
"166","hija (nf)","daughter"
"167","hoja (nf)","sheet, leaf"
"168","impresión (nf)","impression, printing"
"169","información (nf)","information"
"170","intención (nf)","intention"
"171","investigación (nf)","investigation"
"172","izquierda (nf)","left"
"173","labor (nf)","labor, work, task"
"174","lectura (nf)","reading"
"175","lengua (nf)","language, tongue, strip of land"
"176","letra (nf)","letter, handwriting, lyrics"
"177","lucha (nf)","fight, struggle, wrestle"
"178","madera (nf)","wood"
"179","máquina (nf)","machine"
"180","marcha (nf)","march, progress"
"181","masa (nf)","mass, dough, bulk, crowd"
"182","materia (nf)","matter, subject"
"183","mayoría (nf)","majority"
"184","memoria (nf)","memory"
"185","mente (nf)","mind"
"186","mitad (nf)","half, middle"
"187","música (nf)","music"
"188","naturaleza (nf)","nature"
"189","nota (nf)","note, grade"
"190","noticia (nf)","news"
"191","operación (nf)","operation"
"192","opinión (nf)","opinion, view"
"193","oportunidad (nf)","opportunity, chance"
"194","pared (nf)","interior wall"
"195","pareja (nf)","couple, pair"
"196","paz (nf)","peace"
"197","película (nf)","movie, film"
"198","pena (nf) (valer la pena)","trouble (be of worth)"
"199","piedra (nf)","stone, rock"
"200","piel (nf)","skin, hide, fur"
"201","pieza (nf)","piece, part"
"202","planta (nf)","plant, floor"
"203","población (nf)","population"
"204","política (nf)","politics, policy"
"205","posición (nf)","position"
"206","práctica (nf)","practice, skill"
"207","preocupación (nf)","worry, concern"
"208","presencia (nf)","presence, appearance"
"209","presión (nf)","pressure"
"210","propiedad (nf)","property"
"211","prueba (nf)","proof, trial, test"
"212","responsabilidad (nf)","responsibility"
"213","reunión (nf)","meeting, reunion"
"214","revista (nf)","magazine, journal"
"215","revolución (nf)","revolution"
"216","sala (nf)","room, hall"
"217","salida (nf)","exit, escape, outcome"
"218","salud (nf)","health"
"219","sangre (nf)","blood"
"220","santa (nf)","saint (f)"
"221","seguridad (nf)","security, safety"
"222","señora (nf)","Mrs., lady, madam"
"223","serie (nf)","series"
"224","solución (nf)","solution, answer"
"225","suerte (nf)","luck, fortune"
"226","tarea (nf)","task, job"
"227","teoría (nf)","theory"
"228","tradición (nf)","tradition"
"229","vía (nf)","road, way"
"230","visión (nf)","vision"
"231","visita (nf)","visit, visitor, guest"
"232","voluntad (nf)","will, willpower, intention"
"233","vuelta (nf)","return, turn"
"234","alma (nf el)","soul"
"235","arma (nf el)","weapon"
"236","acto (nm)","act, action"
"237","alumno (nm)","student, pupil"
"238","ambiente (nm)","environment, atmosphere"
"239","andar (v)","to walk&nbsp;[also caminar]"
"240","apoyo (nm)","support, backing"
"241","árbol (nm)","tree"
"242","arte (nm)","art, skill"
"243","artículo (nm)","article, product, item"
"244","asunto (nm)","matter, issue, affair"
"245","banco (nm)","financial bank, bench"
"246","bien (nm)","goods, property, benefit (nm)"
"247","brazo (nm)","arm"
"248","caballo (nm)","horse"
"249","calor (nm)","heat, warmth"
"250","carácter (nm)","personality, nature"
"251","cargo (nm)","position, charge, fee"
"252","cielo (nm)","sky, heaven, ceiling"
"253","compañero (nm)","companion, classmate"
"254","concepto (nm)","concept"
"255","conjunto (nm)","group, set"
"256","contacto (nm)","contact"
"257","control (nm)","control"
"258","corazón (nm)","heart, core"
"259","cuadro (nm)","painting, picture"
"260","cuarto (adj)","fourth (adj)"
"261","cuidado (nm)","care, carefulness"
"262","curso (nm)","course, direction"
"263","dato (nm)","data, fact"
"264","derecho (adj)","right, straight (adj)"
"265","desarrollo (nm)","development"
"266","deseo (nm)","desire, wish"
"267","destino (nm)","destination, destiny"
"268","detalle (nm)","detail"
"269","diario (adj)","daily (adj) [also cotidiano]"
"270","dolor (nm)","pain, ache, sorrow"
"271","edificio (nm)","building"
"272","elemento (nm)","element"
"273","encuentro (nm)","meeting, game, skirmish"
"274","equipo (nm)","team, equipment, outfit"
"275","error (nm)","error, mistake"
"276","espíritu (nm)","spirit, ghost"
"277","estilo (nm)","style"
"278","éxito (nm)","success"
"279","fenómeno (nm)","phenomenon"
"280","golpe (nm)","hit, strike, punch"
"281","grado (nm)","degree, grade"
"282","gusto (nm)","pleasure, taste, preference"
"283","hermano (nm)","brother, [pl] siblings"
"284","hogar (nm)","home, hearth"
"285","instrumento (nm)","instrument"
"286","juicio (nm)","judgment"
"287","lenguaje (nm)","language, speech"
"288","límite (nm)","limit"
"289","mercado (nm)","market"
"290","metro (nm)","meter (unit of measure), subway"
"291","miembro (nm)","member, limb"
"292","motivo (nm)","motive, cause, motif"
"293","negocio (nm)","business, transaction"
"294","norte (nm)","north"
"295","origen (nm)","origin, cause"
"296","oro (nm)","gold"
"297","pasado (nm)","past (nm)"
"298","peligro (nm)","danger, menace"
"299","pensamiento (nm)","thought, thinking"
"300","periódico (nm)","newspaper, periodical"
"301","perro (nm)","dog"
"302","personaje (nm)","character (e.g. movie)"
"303","piso (nm)","floor, story"
"304","plan (nm)","plan"
"305","precio (nm)","price, cost, value"
"306","presidente (nm)","president"
"307","producto (nm)","product"
"308","propósito (nm)","intention, purpose"
"309","proyecto (nm)","project, plan"
"310","público (nm)","public, audience (nm)"
"311","puesto (nm)","job, place, position"
"312","recuerdo (nm)","memory, keepsake"
"313","recurso (nm)","resource, recourse, means"
"314","respeto (nm)","respect, regard"
"315","río (nm)","river"
"316","ritmo (nm)","rhythm"
"317","segundo (nm)","second (nm)"
"318","sentimiento (nm)","feeling, sentiment"
"319","silencio (nm)","silence"
"320","sitio (nm)","place, space"
"321","sol (nm)","sun"
"322","sueño (nm)","dream, sleep"
"323","tamaño (nm)","size, dimension"
"324","teatro (nm)","theater, drama"
"325","teléfono (nm)","phone, telephone"
"326","término (nm)","term (language), end"
"327","terreno (nm)","ground, earth, terrain"
"328","texto (nm)","text"
"329","título (nm)","title, heading"
"330","tono (nm)","tone"
"331","uso (nm)","use"
"332","verano (nm)","summer"
"333","vino (nm)","wine"
"334","autor (nm/f)","writer, author"
"335","director (nm/f)","director, manager, principal"
"336","doctor (nm/f)","doctor"
"337","jefe (nm/f)","leader, boss, manager"
"338","profesor (nm/f)","professor, teacher"
"339","capital (nmf)","capital city (f), money (m)"
"340","final (adj)","final (adj)"
"341","mar (nmf)","sea"
"342","par (nmf)","pair, couple (m)"
"343","radio (nmf)","radio; set (m), communication (f)"
"344","cincuenta (num)","fifty"
"345","cuarenta (num)","forty"
"346","doce (num)","twelve"
"347","millón (num)","million, fortune"
"348","nueve (num)","nine"
"349","treinta (num)","thirty"
"350","veinte (num)","twenty"
"351","mediante (prep)","by means of"
"352","tras (prep)","after, behind"
"353","aquello (pron)","that over there (n)"
"354","ése, ésa (pron)","that one"
"355","mío (pron)","mine (pron)"
"356","suyo (pron)","his, hers, yours, theirs (formal)"
"357","tú (pron) [also vos]","you (subj singular familiar)"
"358","abandonar (v)","to abandon, leave (a place)"
"359","acompañar (v)","to accompany"
"360","acordar (v) [also recordar]","to remember, remind"
"361","actuar (v)","to act"
"362","admitir (v)","to admit"
"363","adquirir (v)","to acquire, get"
"364","advertir (v)","to warn"
"365","afectar (v)","to affect"
"366","afirmar (v)","to assert, affirm"
"367","anunciar (v)","to announce, advertise"
"368","aplicar (v)","to apply"
"369","apoyar (v)","to support, lean on"
"370","aprovechar (v)","to take advantage of"
"371","asegurar (v)","to assure, secure, insure"
"372","asistir (v)","to attend"
"373","atender (v)","to serve, attend to"
"374","atravesar (v)","to cross [also cruzar]"
"375","aumentar (v)","to increase [also incrementar]"
"376","avanzar (v)","to advance, progress"
"377","bajar (v)","to come down, let down"
"378","bastar (v)","to be sufficient"
"379","caber (v)","to fit into"
"380","caminar (v)","to walk [also andar]"
"381","cargar (v)","to load up, carry"
"382","coincidir (v)","to coincide, agree"
"383","colocar (v)","to place, position"
"384","comentar (v)","to comment on"
"385","compartir (v)","to share"
"386","comprobar (v)","to verify, prove"
"387","comunicar (v)","to communicate"
"388","conducir (v)","to lead, drive"
"389","conservar (v)","to conserve, preserve"
"390","consistir (v)","to consist of"
"391","constituir (v)","to constitute, consist of"
"392","construir (v)","to construct, build"
"393","contemplar (v)","to contemplate"
"394","contener (v)","to contain"
"395","contestar (v)","to answer, reply"
"396","convenir (v)","to be agreeable, be convenient"
"397","corresponder (v)","to correspond with"
"398","cortar (v)","to cut"
"399","costar (v)","to cost, to be hard to do"
"400","crecer (v)","to grow, increase"
"401","cruzar (v)","to cross [also atravesar]"
"402","cubrir (v)","to cover"
"403","cuidar (v)","to take care of"
"404","defender (v)","to defend, protect"
"405","definir (v)","to define"
"406","demostrar (v)","to show, demonstrate"
"407","depender (v)","to depend on"
"408","desaparecer (v)","to disappear, vanish"
"409","desear (v)","to want, desire, wish for"
"410","despertar (v)","to wake up, arouse"
"411","destacar (v)","to emphasize, stand out"
"412","discutir (v)","to argue, discuss"
"413","disponer (v)","to have means, dispose"
"414","distinguir (v)","to distinguish"
"415","dominar (v)","to dominate, master"
"416","dormir (v)","to sleep"
"417","durar (v)","to last"
"418","emplear (v)","to employ"
"419","enfrentar (v)","to confront, face"
"420","enseñar (v)","to teach, show"
"421","entregar (v)","to deliver"
"422","enviar (v)","to send"
"423","escapar (v)","to escape"
"424","establecer (v)","to establish"
"425","exigir (v)","to demand"
"426","exponer (v)","to expound, expose"
"427","expresar (v)","to express"
"428","extender (v)","to extend, spread"
"429","faltar (v)","to be lacking"
"430","firmar (v)","to sign"
"431","funcionar (v)","to work, function"
"432","guardar (v)","to keep, save"
"433","identificar (v)","to identify"
"434","impedir (v)","to prevent, hinder"
"435","imponer (v)","to impose, enforce"
"436","incluir (v)","to include"
"437","informar (v)","to inform"
"438","iniciar (v)","to initiate, start"
"439","insistir (v)","to insist on"
"440","instalar (v)","to install"
"441","interpretar (v)","to interpret"
"442","intervenir (v)","to intervene"
"443","introducir (v)","to introduce, bring in"
"444","invitar (v)","to invite"
"445","lanzar (v)","to throw (violently), to hurl [also arrojar]"
"446","llenar (v)","to fill"
"447","mandar (v)","to send, order"
"448","manejar (v)","to drive, handle"
"449","marcar (v)","to mark, note, dial"
"450","matar (v)","to kill"
"451","medir (v)","to measure"
"452","mejorar (v)","to improve, get better"
"453","mencionar (v)","to mention, cite"
"454","merecer (v)","to deserve, be worthy of"
"455","meter (v)","to put into"
"456","montar (v)","to ride, mount, assemble"
"457","negar (v)","to deny, refuse"
"458","notar (v)","to notice [also percibir]"
"459","obligar (v)","to obligate, force"
"460","organizar (v)","to organize"
"461","participar (v)","to participate"
"462","permanecer (v)","to stay, remain"
"463","pertenecer (v)","to belong"
"464","pesar (v)","to weigh (v)"
"465","plantear (v)","to propose, present"
"466","preferir (v)","to prefer"
"467","preocupar(se) (v)","to worry"
"468","prestar (v)","to lend"
"469","pretender (v)","to attempt"
"470","probar (v)","to test, prove, try"
"471","pronunciar (v)","to pronounce"
"472","provocar (v)","to cause, provoke"
"473","publicar (v)","to publish"
"474","quitar (v)","to remove, take away"
"475","recoger (v)","to pick up"
"476","recorrer (v)","to travel, cover distance"
"477","recuperar (v)","to recuperate, recover"
"478","reducir (v)","to reduce"
"479","regresar (v)","to return to a place"
"480","representar (v)","to represent"
"481","resolver (v)","to resolve, settle, work out"
"482","respetar (v)","to respect"
"483","retirar (v)","to take away, retire"
"484","reunir (v)","to put togerther, to get together [also juntar]"
"485","romper (v)","to break"
"486","salvar (v)","to save, rescue"
"487","sentar (v)","to sit down, seat"
"488","separar (v)","to separate"
"489","significar (v)","to mean"
"490","sostener (v)","to support, hold up"
"491","superar (v)","to overcome, surpass"
"492","surgir (v)","to appear, spring forth"
"493","tardar (v)","to delay, take long"
"494","tender (v)","to tend to, lay out"
"495","tirar (v)","to throw, pull"
"496","transformar (v)","to transform, change"
"497","unir (v)","to unite"
"498","vender (v)","to sell"
"499","viajar (v)","to travel"
"500","visitar (v)","to visit"
"501","activo (adj)","active"
"502","ajeno (adj)","not belonging to, detached"
"503","americano (adj)","American"
"504","auténtico (adj)","authentic"
"505","barato (adj)","inexpensive"
"506","bello (adj)","beautiful, fine"
"507","breve (adj)","brief, short"
"508","brillante (adj)","brilliant, shiny, sparkling"
"509","central (adj)","central (adj)"
"510","chino (adj)","Chinese"
"511","ciego (adj)","blind"
"512","clásico (adj)","classic"
"513","comercial (adj)","commercial, shopping"
"514","complejo (adj)","complex, complicated (adj)"
"515","complicado (adj)","complicated, complex"
"516","consciente (adj)","conscious, aware"
"517","constante (adj)","constant"
"518","convencido (adj)","convinced, persuaded"
"519","correcto (adj)","correct, suitable"
"520","correspondiente (adj)","corresponding"
"521","cotidiano (adj)","daily (adj)&nbsp;[also diario]"
"522","cristiano (adj)","Christian"
"523","cultural (adj)","cultural"
"524","curioso (adj)","curious, strange"
"525","débil (adj)","weak"
"526","delicado (adj)","delicate"
"527","desconocido (adj)","unknown"
"528","doble (adj)","double (adj)"
"529","eléctrico (adj)","electric"
"530","encargado (adj)","in charge of"
"531","escaso (adj)","scarce, very little"
"532","europeo (adj)","European"
"533","evidente (adj)","evident, obvious"
"534","excelente (adj)","excellent"
"535","exterior (adj)","exterior, outside (adj)"
"536","extranjero (adj)","foreign, alien (adj)"
"537","extremo (nm)","edge, border, end (nm)"
"538","falso (adj)","false"
"539","femenino (adj)","feminine, female"
"540","fijo (adj)","fixed, steady"
"541","fino (adj)","fine, delicate"
"542","fuerte (adj)","strong"
"543","fundamental (adj)","fundamental"
"544","griego (adj)","Greek"
"545","habitual (adj)","usual, habitual, customary"
"546","hermoso (adj)","beautiful, lovely"
"547","independiente (adj)","independent, self-sufficient"
"548","individual (adj)","individual"
"549","infantil (adj)","of children, childlike, infantile"
"550","inferior (adj)","lower, inferior"
"551","inmenso (adj)","immense, vast, huge"
"552","intelectual (adj)","intellectual"
"553","inteligente (adj)","intelligent"
"554","intenso (adj)","intense, acute"
"555","internacional (adj)","international"
"556","lejano (adj)","distant"
"557","lento (adj)","slow"
"558","limpio (adj)","clean"
"559","listo (adj)","ready, clever, smart"
"560","literario (adj)","literary"
"561","loco (adj)","crazy, insane"
"562","lógico (adj)","logical"
"563","máximo (adj)","maximum (adj)"
"564","moral (adj)","moral (adj)"
"565","muchísimo (adj)","great many, great amount"
"566","nervioso (adj)","nervous, uptight"
"567","norteamericano (adj)","North American"
"568","notable (adj)","outstanding, noteworthy"
"569","numeroso (adj)","numerous"
"570","objetivo (nm)","objective (nm)"
"571","obligado (adj)","obliged, required"
"572","oficial (adj)","official, authorized (adj)"
"573","original (adj)","original (adj)"
"574","peligroso (adj)","dangerous"
"575","pendiente (adj)","aware of, pending"
"576","permanente (adj)","permanent"
"577","pesado (adj)","heavy, boring, tiresome"
"578","positivo (adj)","positive"
"579","posterior (adj)","rear, backside"
"580","práctico (adj)","practical, skillful"
"581","preparado (adj)","prepared"
"582","previo (adj)","previous"
"583","quinto (adj)","fifth"
"584","reciente (adj)","recent"
"585","relacionado (adj)","related, regarding"
"586","sano (adj)","healthy, wholesome [also saludable]"
"587","seco (adj)","dry, arid"
"588","seguido (adj)","in a row, successive"
"589","seguro (adj)","safe, sure, secure (adj)"
"590","semejante (adj)","similar, such, alike"
"591","sentado (adj)","seated"
"592","separado (adj)","separate"
"593","similar (adj)","similar&nbsp;[also parecideo]"
"594","técnico (adj)","technical (adj)"
"595","temprano (adj)","early"
"596","terrible (adj)","terrible"
"597","tradicional (adj)","traditional"
"598","tranquilo (adj)","calm, tranquil, relaxed"
"599","tremendo (adj)","tremendous, dreadful, huge"
"600","triste (adj)","sad, unhappy"
"601","universal (adj)","universal"
"602","útil (adj)","useful"
"603","vecino (nm)","neighbor (nm)"
"604","violento (adj)","violent"
"605","vital (adj)","vital, lively, essential"
"606","absolutamente (adv)","absolutely, completely"
"607","acaso (adv)","by chance, maybe"
"608","acerca (adv)","about, concerning"
"609","aparte (adv)","apart, aside, separately"
"610","ayer (adv)","yesterday"
"611","claramente&nbsp;(adv)","clearly"
"612","cuándo (adv)","when?"
"613","definitivamente (adv)","definitely, finally"
"614","generalmente (adv)","generally, usually"
"615","igualmente (adv)","equally"
"616","justamente (adv)","just, exactly"
"617","nuevamente (adv)","anew, again"
"618","prácticamente (adv)","practically"
"619","profundamente (adv)","profoundly, deeply"
"620","rápidamente (adv)","rapidly, quickly"
"621","únicamente (adv)","only [also solamente]"
"622","verdaderamente (adv)","truly"
"623","ah (interj) [also oh]","oh"
"624","estudiante (nc)","student"
"625","juez (nc)","judge"
"626","periodista (nc)","journalist"
"627","poeta (nc)","poet"
"628","policía (nc)","police, police force, police officer"
"629","representante (nc)","representative (nc)"
"630","alegría (nf)","joy, happiness"
"631","amistad (nf)","friendship"
"632","ausencia (nf)","absence"
"633","aventura (nf)","adventure"
"634","batalla (nf)","battle"
"635","belleza (nf)","beauty"
"636","busca (nf)","search, hunt"
"637","cadena (nf)","chain"
"638","caja (nf)","bank, box, safe"
"639","cama (nf)","bed (furniture)"
"640","cámara (nf)","camera, chamber"
"641","campaña (nf)","campaign"
"642","canción (nf)","song"
"643","capa (nf)","layer, coat"
"644","característica (nf)","characteristic, aspect"
"645","carga (nf)","load, charge, cargo"
"646","categoría (nf)","category"
"647","columna (nf)","column, spine"
"648","compra (nf)","shopping, buy, purchase"
"649","comunidad (nf)","community"
"650","conclusión (nf)","conclusion, end"
"651","conducta (nf)","conduct, behavior"
"652","consideración (nf)","consideration, regard"
"653","costa (nf)","coast"
"654","creación (nf)","creation"
"655","crisis (nf)","crisis"
"656","crítica (nf)","criticism, critique"
"657","culpa (nf)","blame, fault"
"658","derecha (nf)","right, right hand"
"659","disciplina (nf)","discipline, subject"
"660","discusión (nf)","discussion, argument"
"661","disposición (nf)","disposal, disposition"
"662","entrevista (nf)","interview, meeting"
"663","escena (nf)","scene, stage, setting"
"664","espalda (nf)","back (body)"
"665","estación (nf)","station, season"
"666","estrella (nf)","star (nf)"
"667","estructura (nf)","structure"
"668","excepción (nf)","exception"
"669","fábrica (nf)","factory, manufacture"
"670","facilidad (nf)","ease, facility"
"671","facultad (nf)","faculty, ability"
"672","fe (nf)","faith"
"673","fotografía (nf)","photograph"
"674","frecuencia (nf)","frequency"
"675","frontera (nf)","border, frontier"
"676","gana (nf)","desire"
"677","hermana (nf)","sister"
"678","iglesia (nf)","church"
"679","ilusión (nf)","illusion, hope, dream"
"680","influencia (nf)","influence"
"681","inquietud (nf)","restlessness, anxiety"
"682","institución (nf)","institution"
"683","inteligencia (nf)","intelligence"
"684","interpretación (nf)","interpretation, interpreting"
"685","isla (nf)","island"
"686","justicia (nf)","justice, fairness"
"687","juventud (nf)","youth"
"688","leche (nf)","milk"
"689","lista (nf)","list, roster, roll"
"690","literatura (nf)","literature"
"691","llamada (nf)","call, knock"
"692","lluvia (nf)","rain"
"693","mañana (adv)","tomorrow (adv)"
"694","marca (nf)","mark, brand, trademark"
"695","mirada (nf)","gaze, look"
"696","misión (nf)","mission, task"
"697","moda (nf)","fashion, form"
"698","moneda (nf)","coins, currency"
"699","montaña (nf)","mountain (nf)"
"700","niña (nf)","child, young girl"
"701","norma (nf)","standard, pattern, norm"
"702","novela (nf)","novel"
"703","obligación (nf)","obligation"
"704","oficina (nf)","office"
"705","organización (nf)","organization"
"706","página (nf)","page"
"707","participación (nf)","participation, involvement"
"708","partida (nf)","game, match, departure"
"709","pasión (nf)","passion, desire"
"710","pérdida (nf)","loss"
"711","personalidad (nf)","personality, celebrity"
"712","perspectiva (nf)","perspective"
"713","pierna (nf)","leg"
"714","pintura (nf)","painting, paint"
"715","plata (nf)","silver, money"
"716","plaza (nf)","square, marketplace"
"717","prensa (nf)","press"
"718","profesión (nf)","profession, occupation"
"719","profundidad (nf)","depth, profundity"
"720","punta (nf)","tip, point"
"721","raíz (nf)","root"
"722","rama (nf)","branch, bough, limb"
"723","reacción (nf)","reaction"
"724","referencia (nf)","reference, allusion"
"725","región (nf)","region"
"726","regla (nf)","rule, ruler, regulation"
"727","religión (nf)","religion"
"728","representación (nf)","representation"
"729","resistencia (nf)","resistance, opposition"
"730","riqueza (nf)","riches, wealth"
"731","ropa (nf)","clothes, clothing"
"732","rueda (nf)","wheel"
"733","satisfacción (nf)","satisfaction"
"734","señal (nf)","sign, mark, token"
"735","sensación (nf)","sensation, feeling"
"736","silla (nf)","chair, seat"
"737","sombra (nf)","shade, shadow"
"738","sorpresa (nf)","surprise"
"739","suma (nf)","sum, amount, summary"
"740","superficie (nf)","surface, area"
"741","tarde (adv)","late (adv)"
"742","técnica (nf)","technique, skill"
"743","televisión (nf)","TV, television"
"744","tendencia (nf)","tendency, style"
"745","unidad (nf)","unit, unity"
"746","universidad (nf)","university, college"
"747","velocidad (nf)","speed, velocity [also rapidez]"
"748","venta (nf)","sale"
"749","ventaja (nf)","advantage, benefit"
"750","ventana (nf)","window"
"751","violencia (nf)","violence"
"752","virtud (nf)","virtue, quality"
"753","hambre (nf el)","hunger, starvation"
"754","acceso (nm)","access, entry"
"755","accidente (nm)","accident, irregularity"
"756","acontecimiento (nm)","event, happening"
"757","agosto (nm)","August"
"758","alcance (nm)","reach, scope"
"759","alimento (nm)","food, nourishment"
"760","análisis (nm)","analysis"
"761","ánimo (nm)","zest, spirit, heart"
"762","aparato (nm)","apparatus, device"
"763","argumento (nm)","argument, plot"
"764","ataque (nm)","attack, raid"
"765","avión (nm)","plane, airplane, aircraft"
"766","barco (nm)","boat"
"767","barrio (nm)","neighborhood, district"
"768","beneficio (nm)","benefit, profit"
"769","café (nm)","coffee, café"
"770","capítulo (nm)","chapter"
"771","chico (nm)","boy&nbsp;[also muchacho]"
"772","cine (nm)","cinema, US movie theater"
"773","círculo (nm)","circle, club"
"774","coche (nm)","car, carriage"
"775","colegio (nm)","high school, college"
"776","comentario (nm)","remark, comment"
"777","comienzo (nm)","start, beginning"
"778","comportamiento (nm)","behavior, conduct"
"779","compromiso (nm)","compromise, engagement"
"780","conflicto (nm)","conflict"
"781","consejo (nm)","advice, council, counsel"
"782","contenido (nm)","contents, content"
"783","criterio (nm)","criterion"
"784","cuento (nm)","story, tale"
"785","daño (nm)","harm, injury, damage"
