"index","word","kroman","meaning","kanja"
"120","날","nar","day, date;<br>edge",""
"121","목요일","mog-yo-ir","Thursday","木曜日"
"122","이야기하다","i-ya-gi-ha-da","to talk",""
"123","저기","jeo-gi","over there",""
"124","청소","ceong-so","cleaning","淸掃"
"125","바쁘다","ba-bbeu-da","to be busy",""
"126","년","nyeon","year","年"
"127","그리고","geu-ri-go","and",""
"128","요리하다","yo-ri-ha-da","to cook","料理"
"129","오빠","o-bba","older brother (of a female)",""
"130","생일","saeng-ir","birthday","生日"
"131","물어보다","mur-eo-bo-da","to ask, question",""
"132","끝","ggeut","end",""
"133","회사","hoe-sa","company, corporation","會社"
"134","쉽다","swib-da","to be easy",""
"135","어떻게","eo-ddeoh-ge","how",""
"136","중국","jung-gug","China","中國"
"137","찾다","caj-da","to look for;<div>to find;</div><div>to withdraw (money)</div>",""
"138","비","bi","rain;<br>broom",""
"139","숙제","sug-je","homework","宿題"
"140","아니다","a-ni-da","to not be",""
"141","공책","gong-caeg","notebook","空冊"
"142","햄버거","haem-beo-geo","hamburger",""
"143","전화하다","jeon-hwa-ha-da","to make a phone call","電話"
"144","가게","ga-ge","shop, store",""
"145","배","bae","pear;<br>stomach;<br>boat",""
"146","피곤하다","pi-gon-ha-da","to be tired","疲困"
"147","저녁","jeo-nyeog","evening;<div>dinner</div>",""
"148","금요일","geum-yo-ir","Friday","金曜日"
"149","일어나다","ir-eo-na-da","to wake up, get up;<div>to happen</div>",""
"150","날씨","nar-ssi","weather",""
"151","번","beon","time (first, second...)","番"
"152","타다","ta-da","to ride, get in;<br>to burn, be tanned",""
"153","자주","ja-ju","often",""
"154","공원","gong-weon","park","公園"
"155","만들다","man-deur-da","to make",""
"156","바지","ba-ji","pants",""
"157","형","hyeong","a man's older brother;<br />type, style;<br />punishment","兄,&nbsp;型,&nbsp;刑"
"158","일하다","ir-ha-da","to work",""
"159","자동차","ja-dong-ca","car","自動車"
"160","고기","go-gi","meat",""
"161","그렇다","geu-reoh-da","to be so (like that)",""
"162","은행","eun-haeng","bank","銀行"
"163","더","deo","more",""
"164","청소하다","ceong-so-ha-da","to clean up, to vacuum","淸掃"
"165","다음","da-eum","the next, the following",""
"166","독일","dog-ir","Germany","獨逸"
"167","배우다","bae-u-da","to learn",""
"168","아이","a-i","child",""
"169","안녕히","an-nyeong-hi","peacefully;<div>safely</div>","安寧"
"170","끝나다","ggeut-na-da","to end, be over",""
"171","개","gae","dog;<div>thing (<i>count.</i>)</div>",""
"172","토요일","to-yo-ir","Saturday","土曜日"
"173","기다리다","gi-da-ri-da","to wait",""
"174","김밥","gim-bab","Korean dried seaweed rice rolls",""
"175","이번","i-beon","this time","-番"
"176","나쁘다","na-bbeu-da","to be bad",""
"177","밤","bam","night;<div>chestnut</div>",""
"178","여행","yeo-haeng","trip, travel","旅行"
"179","다니다","da-ni-da","to go (frequently),<br>to attend, work for",""
"180","너무","neo-mu","too (much)",""
"181","부모님","bu-mo-nim","parents","父母-"
"182","재미없다","jae-mi-eobs-da","to be boring, dull",""
"183","텔레비전","ter-re-bi-jeon","TV",""
"184","사진","sa-jin","picture, photo","寫眞"
"185","받다","bad-da","to receive, accept;<div>to take</div>",""
"186","병원","byeong-weon","hospital","病院"
"187","딸","ddar","daughter",""
"188","도착하다","do-cag-ha-da","to arrive","到着"
"189","나라","na-ra","country, nation",""
"190","점심","jeom-sim","lunch; afternoon","點心"
"191","싸다","ssa-da","to be inexpensive, cheap;<div>to wrap up, pack</div>",""
"192","얼마","eor-ma","how much (money)",""
"193","일요일","ir-yo-ir","Sunday","日曜日"
"194","돕다","dob-da","to help",""
"195","앞","ap","the front",""
"196","주말","ju-mar","weekend","週末"
"197","다르다","da-reu-da","to be different",""
"198","그래서","geu-rae-seo","therefore",""
"199","선물","seon-mur","present, gift","膳物"
"200","생각하다","saeng-gag-ha-da","to think",""
"201","빵","bbang","bread",""
"202","약속","yag-sog","appointment;<div>promise</div>","約束"
"203","싫다","sirh-da","to be unlikable, to not like",""
"204","거기","geo-gi","there",""
"205","음식","eum-sig","food","飮食"
"206","나오다","na-o-da","to come out",""
"207","아들","a-deur","son",""
"208","도서관","do-seo-gwan","library","圖書館"
"209","길다","gir-da","to be long",""
"210","다","da","all",""
"211","문제","mun-je","problem, question","問題"
"212","웃다","us-da","to laugh, smile",""
"213","아이스크림","a-i-seu-keu-rim","ice cream",""
"214","일주일","ir-ju-ir","one week","一週日"
"215","좋아하다","joh-a-ha-da","to like",""
"216","명","myeong","counter for people","名"
"217","고양이","go-yang-i","cat",""
"218","수영하다","su-yeong-ha-da","to swim","水泳"
"219","이쪽으로","i-jjog-eu-ro","this way, over here",""
"220","인사","in-sa","greetings","人事"
"221","늦다","neuj-da","to be late",""
"222","몇","myeoc","how many",""
"223","시장","si-jang","market;<div>mayor</div>","市場,&nbsp;市長"
"224","찍다","jjig-da","to take a picture;<br />to mark, stamp, dip into, chop",""
"225","하지만","ha-ji-man","but, though",""
"226","시험","si-heom","exam, test","試驗"
"227","맞다","maj-da","to be correct;<div>to be hit, struck</div>",""
"228","치마","ci-ma","skirt",""
"229","시","si","poem;<div>time, hour;</div><div>o'clock</div>","詩,&nbsp;時"
"230","못하다","mos-ha-da","to be unable to do",""
"231","요즘","yo-jeum","these days",""
"232","화장실","hwa-jang-sir","toilet, bathroom","化粧室"
"233","멀다","meor-da","to be far",""
"234","수업","su-eob","class, instruction","受業·授業"
"235","무슨","mu-seun","which/what (+ noun)",""
"236","운전하다","un-jeon-ha-da","to drive","運轉"
"237","프랑스","peu-rang-seu","France",""
"238","월","weor","month","月"
"239","많다","manh-da","to be many, to be plenty",""
"240","나이","na-i","age",""
"241","매일","mae-ir","every day","每日"
"242","부르다","bu-reu-da","to call, to call out",""
"243","마음","ma-eum","mind, heart, nature",""
"244","포도","po-do","grape","葡萄"
"245","반갑다","ban-gab-da","to be glad, happy, pleased",""
"246","안","an","inside, within;<br />not;<div>proposal</div>","案"
"247","지하철","ji-ha-ceor","subway","地下鐵"
"248","닫다","dad-da","to close",""
"249","우리","u-ri","we (<i>informal</i>)",""
"250","시계","si-gye","clock, watch","時計"
"251","짧다","jjarb-da","to be short",""
"252","다시","da-si","again",""
"253","분","bun","minute;<div>person (hon.)</div>","分"
"254","지내다","ji-nae-da","to spend time;<div>to pursue;</div><div>to associate with</div>",""
"255","얼마나","eor-ma-na","how + adjective/adverb",""
"256","식당","sig-dang","restaurant, cafeteria, diner","食堂"
"257","덥다","deob-da","to be hot (regarding the weather)",""
"258","혼자","hon-ja","alone",""
"259","오월","o-weor","May","五月"
"260","쉬다","swi-da","to rest, take a rest",""
"261","꽃","ggoc","flower",""
"262","정말","jeong-mar","really, seriously","正-"
"263","고맙다","go-mab-da","to be thankful, grateful",""
"264","피자","pi-ja","pizza",""
"265","대답","dae-dab","answer","對答"
"266","되다","doe-da","to become, get, turn into",""
"267","손","son","hand",""
"268","취미","cwi-mi","hobby","趣味"
"269","가깝다","ga-ggab-da","to be close",""
"270","그래","geu-rae","yes, okay",""
"271","자전거","ja-jeon-geo","bicycle","自轉車"
"272","내리다","nae-ri-da","to come down, put down;<div>to get out of;</div><div>to take off</div>",""
"273","옆","yeop","beside, next to",""
"274","유월","yu-weor","June","六月"
"275","열다","yeor-da","to open",""
"276","보통","bo-tong","usually, normally","普通"
"277","저쪽","jeo-jjog","that side, over there",""
"278","중요하다","jung-yo-ha-da","to be important","重要"
"279","술","sur","alcoholic drink",""
"280","신문","sin-mun","newspaper","新聞"
"281","말다","mar-da","to not do",""
"282","신발","sin-bar","shoes, footwear",""
"283","백화점","baeg-hwa-jeom","department store","百貨店"
"284","같다","gat-da","to be the same (as);<div>to look like, seem like</div>",""
"285","컴퓨터","keom-pyu-teo","computer",""
"286","감기","gam-gi","cold (the illness)","感氣"
"287","적다","jeog-da","to write down, fill out;<div>to be small in quantity</div>",""
"288","곳","gos","place",""
"289","직업","jig-eob","job, occupation","職業"
"290","잘하다","jar-ha-da","to do well, be skillful",""
"291","나중에","na-jung-e","later",""
"292","의사","eui-sa","doctor, physician;<div>intention, idea</div>","醫師,&nbsp;意思"
"293","괜찮다","gwaen-canh-da","to be okay",""
"294","과일","gwa-ir","fruit",""
"295","극장","geug-jang","movie theater;<div>theater</div>","劇場"
"296","가르치다","ga-reu-ci-da","to teach",""
"297","새","sae","new;<div>bird</div>",""
"298","고향","go-hyang","hometown","故鄕"
"299","맵다","maeb-da","to be spicy, hot;<div>to be intense</div>",""
"300","일월","ir-weor","January","一月"
"301","그런데","geu-reon-de","by the way, but then",""
"302","결혼하다","gyeor-hon-ha-da","to get married","結婚"
"303","잠","jam","sleep, nap",""
"304","사전","sa-jeon","dictionary","辭典"
"305","나가다","na-ga-da","to go out",""
"306","언니","eon-ni","older sister (of a female)",""
"307","냉장고","naeng-jang-go","refrigerator","冷藏庫"
"308","여러분","yeo-reo-bun","everyone, ladies and gentlemen",""
"309","따뜻하다","dda-ddeus-ha-da","to be warm, kind",""
"310","공항","gong-hang","airport","空港"
"311","그런","geu-reon","such, that kind of",""
"312","씻다","ssis-da","to wash",""
"313","거리","geo-ri","distance;<div>street, road</div>","距離"
"314","오렌지","o-ren-ji","orange",""
"315","태어나다","tae-eo-na-da","to be born",""
"316","침대","cim-dae","bed","寢臺"
"317","때","ddae","time; when;<div>occasion;</div><div>dirt</div>",""
"318","힘들다","him-deur-da","to be difficult, tiring, painful",""
"319","이월","i-weor","February","二月"
"320","천천히","ceon-ceon-hi","slowly",""
"321","놓다","noh-da","to lay, put, place;<br>to let go",""
"322","영국","yeong-gug","United Kingdom","英國"
"323","달","dar","month, moon",""
"324","춤추다","cum-cu-da","to dance",""
"325","창문","cang-mun","window","窓門"
"326","누나","nu-na","older sister (of a male)",""
"327","슬프다","seur-peu-da","to be sad",""
"328","열심히","yeor-sim-hi","diligently, passionately","熱心"
"329","그림","geu-rim","picture",""
"330","잡다","jab-da","to catch, grab, take",""
"331","씨","ssi","Mr., Ms.;<div>seed, kernel</div>","氏"
"332","늦게","neuj-ge","late",""
"333","걱정하다","geog-jeong-ha-da","to worry",""
"334","가수","ga-su","singer","歌手"
"335","여름","yeo-reum","summer",""
"336","팔다","par-da","to sell",""
"337","잔","jan","cup, glass","盞"
"338","엄마","eom-ma","mom",""
"339","깨끗하다","ggae-ggeus-ha-da","to be clean",""
"340","모자","mo-ja","hat, cap;<div>mother and son</div>","帽子,&nbsp;母子"
"341","카메라","ka-me-ra","camera",""
"342","울다","ur-da","to cry",""
"343","준비","jun-bi","preparation, arrangement","準備"
"344","속","sog","inside",""
"345","구두","gu-du","dress shoes",""
"346","축하하다","cug-ha-ha-da","to congratulate","祝賀"
"347","불고기","bur-go-gi","marinated beef",""
"348","어떤","eo-ddeon","some, certain;<br>what kind of",""
"349","삼월","sam-weor","March","三月"
"350","걷다","geod-da","to walk",""
"351","나","na","I (<i>informal</i>)",""
"352","태권도","tae-gweon-do","Taekwondo","跆拳道"
"353","뜨겁다","ddeu-geob-da","to be hot (regarding objects)",""
"354","아빠","a-bba","dad",""
"355","작년","jag-nyeon","last year","昨年"
"356","보내다","bo-nae-da","to send;<br />to pass (spend) time",""
"357","조금","jo-geum","a little",""
"358","오전","o-jeon","before noon","午前"
"359","여동생","yeo-dong-saeng","younger sister","女--"
"360","세수하다","se-su-ha-da","to wash one's face","洗手"
"361","힘","him","power, strength, force, capability",""
"362","일찍","ir-jjig","early",""
"363","편지","pyeon-ji","letter, note","便紙·片紙"
"364","맛없다","mas-eobs-da","to be tasteless, unsavory",""
"365","무엇","mu-eos","what, which, something (the unshortened form of 뭐)",""
"366","서점","seo-jeom","bookstore","書店"
"367","걸리다","geor-ri-da","to take time;<div>to hang;<br /><div>to be caught</div></div>",""
"368","아직","a-jig","yet, still",""
"369","맥주","maeg-ju","beer","麥酒"
"370","싫어하다","sirh-eo-ha-da","to dislike",""
"371","또","ddo","again, repeatedly;<div>also, too</div>",""
"372","사월","sa-weor","April","四月"
"373","치다","ci-da","to play a game;<br>to hit, attack",""
"374","초콜릿","co-kor-ris","chocolate",""
"375","제일","je-ir","the most","第一"
"376","남동생","nam-dong-saeng","younger brother","男--"
"377","시원하다","si-weon-ha-da","to be cool, refreshing",""
"378","그분","geu-bun","he/she",""
"379","병","byeong","bottle;<div>sickness, disease</div>","甁"
"380","올해","or-hae","this year",""
"381","내다","nae-da","to pay;<div>to hand in;<br /><div>to produce</div></div>",""
"382","오후","o-hu","after noon","午後"
"383","겨울","gyeo-ur","winter",""
"384","생기다","saeng-gi-da","to occur, happen;<div>to look;</div><div>to form</div>",""
"385","층","ceung","floor (count.)","層"
"386","얼굴","eor-gur","face",""
"387","조용하다","jo-yong-ha-da","to be quiet",""
"388","한번","han-beon","one time","-番"
"389","얘기","yae-gi","story;<div>talk, conversation</div>",""
"390","모두","mo-du","all together, everyone",""
"391","소개하다","so-gae-ha-da","to introduce, recommend","紹介"
"392","가끔","ga-ggeum","sometimes",""
"393","검은색","geom-eun-saeg","black",""
"394","역","yeog","train station;<div>part in a play</div>","驛,&nbsp;役"
"395","짜다","jja-da","to organize, construct;<div>to be salty</div>",""
"396","생선","saeng-seon","fish (for eating)","生鮮"
"397","오래","o-rae","a long time",""
"398","휴일","hyu-ir","public holiday","休日"
"399","버리다","beo-ri-da","to abandon, to throw away",""
"400","위","wi","above;<div>stomach</div>","胃"
"401","먼저","meon-jeo","first, ahead",""
"402","건강하다","geon-gang-ha-da","to be healthy","健康"
"403","할머니","har-meo-ni","grandmother",""
"404","칠월","cir-weor","July","七月"
"405","가지다","ga-ji-da","to posess (have)",""
"406","샌드위치","saen-deu-wi-ci","sandwich",""
"407","동물","dong-mur","animal","動物"
"408","똑같다","ddog-gat-da","to be exactly the same",""
"409","키","ki","height",""
"410","남편","nam-pyeon","husband","男便"
"411","서다","seo-da","to stand;<div>to stop</div>",""
"412","그렇지만","geu-reoh-ji-man","but, however",""
"413","계획","gye-hoeg","plan, project","計劃"
"414","잘못하다","jar-mos-ha-da","to make a mistake",""
"415","사무실","sa-mu-sir","office","事務室"
"416","너","neo","you (<i>informal</i>)",""
"417","벌써","beor-sseo","already",""
"418","필요하다","pir-yo-ha-da","to need","必要"
"419","흰색","heuin-saeg","white",""
"420","부엌","bu-eok","kitchen",""
"421","잠시","jam-si","a short while","暫時"
"422","들어가다","deur-eo-ga-da","to enter, go in",""
"423","안경","an-gyeong","glasses, eyeglasses","眼鏡"
"424","봄","bom","spring",""
"425","남학생","nam-hag-saeng","male student","男學生"
"426","놀라다","nor-ra-da","to be surprised, astonished, startled",""
"427","팔월","par-weor","August","八月"
"428","이런","i-reon","such",""
"429","생활","saeng-hwar","life, living, livelihood","生活"
"430","계시다","gye-si-da","to exist (hon.)",""
"431","수박","su-bag","watermelon",""
"432","교실","gyo-sir","classroom","敎室"
"433","살","sar","years of age (<i>count.</i>);<div>flesh, muscle</div>",""
"434","미안하다","mi-an-ha-da","to be sorry (less formal)","未安"
"435","파티","pa-ti","party (social gathering)",""
"436","색깔","saeg-ggar","color","色-"
"437","끝내다","ggeut-nae-da","to finish (something)",""
"438","우체국","u-ce-gug","post office","郵遞局"
"439","여러","yeo-reo","many, several",""
"440","축구","cug-gu","football (soccer)","蹴球"
"441","달다","dar-da","to be sweet;<br />to put up, attach;<div>to weigh, measure</div>",""
"442","산","san","mountain","山"
"443","어느","eo-neu","which",""
"444","배우","bae-u","actor","俳優"
"445","구경하다","gu-gyeong-ha-da","to go sightseeing, look around;<div>to see, watch (a show, movie, play, sports game etc.)</div>",""
"446","할아버지","har-a-beo-ji","grandfather",""
"447","냉면","naeng-myeon","cold noodles","冷麵"
"448","밑","mit","the bottom, below",""
"449","유명하다","yu-myeong-ha-da","to be famous","有名"
"450","처음","ceo-eum","for the first time;<div>the origin</div>",""
"451","구월","gu-weor","September","九月"
"452","왼쪽","oen-jjog","left side",""
"453","설명하다","seor-myeong-ha-da","to explain","說明"
"454","밖","bagg","the outside",""
"455","잡지","jab-ji","magazine, journal","雜誌"
"456","비슷하다","bi-seus-ha-da","to be similar",""
"457","외국","oe-gug","foreign country","外國"
"458","며칠","myeo-cir","several days;<div>day of the month</div>",""
"459","청바지","ceong-ba-ji","blue jeans","靑--"
"460","들어오다","deur-eo-o-da","to come in, enter",""
"461","반","ban","half;<br>group, class","半,&nbsp;班"
"462","택시","taeg-si","taxi",""
"463","진짜","jin-jja","really, very;<div>real thing</div>","眞-"
"464","아름답다","a-reum-dab-da","to be beautiful",""
"465","식사","sig-sa","meal","食事"
"466","동안","dong-an","during, interval",""
"467","사용하다","sa-yong-ha-da","to use, make use of","使用"
"468","뒤","dwi","behind",""
"469","시월","si-weor","October","十月"
"470","밝다","bark-da","to be bright, light;<div>to be promising;</div><div>to be sharp, keen</div>",""
"471","교수","gyo-su","professor;<br>teaching, instruction","敎授"
"472","마지막","ma-ji-mag","the last, final one",""
"473","계속하다","gye-sog-ha-da","to continue","繼續"
"474","맛","mas","taste, flavor",""
"475","양말","yang-mar","socks","洋襪"
"476","가을","ga-eur","autumn",""
"477","초대하다","co-dae-ha-da","to invite","招待"
"478","비빔밥","bi-bim-bab","boiled rice with assorted mixtures",""
"479","주소","ju-so","address, residence","住所"
"480","빠르다","bba-reu-da","to be quick, fast",""
"481","물건","mur-geon","thing, object, article","物件"
"482","길","gir","street, road",""
"483","여학생","yeo-hag-saeng","female student","女學生"
"484","들다","deur-da","to be included, be among;<div>to pick up, hold, carry;</div><div>to mention, state</div>",""
"485","이렇게","i-reoh-ge","like this, in this way",""
"486","도시","do-si","city","都市"
"487","아내","a-nae","wife",""
"488","연습하다","yeon-seub-ha-da","to practice, train","練習"
"489","캐나다","kae-na-da","Canada",""
"490","오른쪽","o-reun-jjog","right side",""
"491","약국","yag-gug","pharmacy","藥局"
"492","도와주다","do-wa-ju-da","to help out, assist",""
"493","강","gang","river","江"
"494","파란색","pa-ran-saeg","blue",""
"495","지갑","ji-gab","wallet;<div>purse</div>","紙匣"
"496","높다","nop-da","to be high;<div>to be noble</div>",""
"497","십일월","sib-ir-weor","November","十一月"
"498","모든","mo-deun","all; every",""
"499","이해하다","i-hae-ha-da","to understand, grasp","理解"
"500","팔","par","arm",""
"501","항상","hang-sang","always","恒常"
"502","잊다","ij-da","to forget",""
"503","기숙사","gi-sug-sa","dormitory","寄宿舍"
"504","라면","ra-myeon","ramen",""
"505","출발하다","cur-bar-ha-da","to depart, leave","出發"
"506","값","gabs","price, cost",""
"507","거실","geo-sir","living room","居室"
"508","무겁다","mu-geob-da","to be heavy",""
"509","외국어","oe-gug-eo","foreign language","外國語"
"510","앞으로","ap-eu-ro","from now on",""
"511","실례하다","sir-rye-ha-da","to be excused","失禮"
"512","함께","ham-gge","together, in company with",""
"513","십이월","sib-i-weor","December","十二月"
"514","켜다","kyeo-da","to turn on, switch on",""
"515","아줌마","a-jum-ma","middle aged woman",""
"516","전","jeon","before, prior to","前"
"517","쇼핑","syo-ping","shopping",""
"518","복잡하다","bog-jab-ha-da","to be crowded;<div>to be complicated</div>","複雜"
"519","그렇게","geu-reoh-ge","so, like that",""
"520","대학생","dae-hag-saeng","college student","大學生"
"521","지난주","ji-nan-ju","last week","--週"
"522","바꾸다","ba-ggu-da","to change, switch, alter",""
"523","화","hwa","anger;<div>disaster, misfortune</div>","火,&nbsp;禍"
"524","바로","ba-ro","right there;<br>directly",""
"525","죽다","jug-da","to die",""
"526","학년","hag-nyeon","school year","學年"
"527","사이","sa-i","relationship;<div>distance apart</div>",""
"528","친절하다","cin-jeor-ha-da","to be kind, considerate","親切"
"529","그러니까","geu-reo-ni-gga","therefore, consequently",""
"530","예","ye","example;<div>yes</div>","例"
"531","내려오다","nae-ryeo-o-da","to come down, get off",""
"532","설탕","seor-tang","sugar","雪糖·屑糖"
"533","아마","a-ma","probably, maybe",""
"534","졸업하다","jor-eob-ha-da","to graduate","卒業"
"535","이곳","i-gos","this place, here",""
"536","수건","su-geon","towel","手巾"
"537","차갑다","ca-gab-da","to be cold (regarding objects)",""
"538","약","yag","drug, medicine;<br>approximately","藥,&nbsp;約"
"539","아래","a-rae","under",""
"540","건강","geon-gang","health","健康"
"541","그리다","geu-ri-da","to draw a picture",""
"542","개월","gae-weor","months (count.)","個月"
"543","언제나","eon-je-na","always;<div>usually</div>",""
"544","빨갛다","bbar-gah-da","to be red",""
"545","방학","bang-hag","vacation (from school)","放學"
"546","컵","keob","cup",""
"547","세우다","se-u-da","to make something stand, erect;<div>to stop, park;</div><div>to set (up)</div>",""
"548","부산","bu-san","Busan","釜山"
"549","그때","geu-ddae","then, at that time",""
"550","사실","sa-sir","fact, truth","事實"
"551","넓다","neorb-da","to be wide, spacious",""
"552","휴지","hyu-ji","toilet paper, tissue;<div>pause</div>","休紙,&nbsp;休止"
"553","떡","ddeog","Korean rice cake",""
"554","출근하다","cur-geun-ha-da","to go (get) to work","出勤"
"555","아주","a-ju","very much",""
"556","번호","beon-ho","number","番號"
"557","어떻다","eo-ddeoh-da","to be the manner in which something is done",""
"558","기분","gi-bun","mood, feeling","氣分"
"559","몸","mom","body, figure",""
"560","내년","nae-nyeon","next year","來年"
"561","다녀오다","da-nyeo-o-da","to go and get back, be back",""
"562","운동장","un-dong-jang","field, (school) stadium;<div>playground</div>","運動場"
"563","아기","a-gi","baby",""
"564","위험하다","wi-heom-ha-da","to be dangerous, risky","危險"
"565","공","gong","ball",""
"566","계속","gye-sog","continuously","繼續"
"567","드리다","deu-ri-da","to give, offer (hon.)",""
"568","경찰","gyeong-car","police, police officer","警察"
"569","그릇","geu-reus","bowl, container",""
"570","떠나다","ddeo-na-da","to leave, depart",""
"571","식탁","sig-tag","dining table","食卓"
"572","목","mog","neck;<div>throat</div>",""
"573","즐겁다","jeur-geob-da","to be pleasant, joyful, cheerful, happy",""
"574","요일","yo-ir","day of the week","曜日"
"575","버스","beo-seu","bus",""
"576","내려가다","nae-ryeo-ga-da","to go down",""
"577","방법","bang-beob","way, method","方法"
"578","갈비","gar-bi","barbecued spare ribs",""
"579","낮다","naj-da","to be low",""
"580","한국말","han-gug-mar","Korean language","韓國-"
"581","꼭","ggog","certainly, for sure",""
"582","닦다","dagg-da","to wipe;<div>to polish</div>",""
"583","기차","gi-ca","train","汽車"
"584","첫째","ceos-jjae","first, the foremost",""
"585","화나다","hwa-na-da","to be angry, mad","火-"
"586","손님","son-nim","guest;<div>customer</div>",""
"587","근처","geun-ceo","nearby","近處"
"588","가볍다","ga-byeob-da","to be light (as opposed to heavy)",""
"589","비행기","bi-haeng-gi","airplane","飛行機"
"590","그쪽","geu-jjog","that, that way;<div>you</div>",""
"591","여자친구","yeo-ja-cin-gu","girlfriend","女子親舊"
